level	name	condition	replacewith	notes
Scientific_Name	Agonoderus pallipes	unmatched	Agonoderus pallipes	Genus = Agonoderus & Family = Carabidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Hydrochus subcupreus?	unmatched	Hydrochus subcupreus	
Scientific_Name	Cercyon melanocephalum	unmatched	Cercyon melanocephalus	
Scientific_Name	Heterothops fasculus	unmatched	Heterothops fusculus	
Scientific_Name	Xantholinus obsidianus	unmatched	Xantholinus obsidianus	Genus = Xantholinus & Family = Staphylinidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Cilea silphoides	unmatched	Cilea silphoides	Genus = Cilea & Family = Staphylinidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Stilbus apicalis	unmatched	Stilbus apicalis	Genus = Stilbus & Family = Phalacridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Typhaea fumata	unmatched	Typhaea stercorea	
Scientific_Name	Hister?americanus	unmatched	Hister americanus	
Scientific_Name	Hister subrotundus	unmatched	Hister subrotundus	Genus = Hister & Family = Histeridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Saprinus scissus	unmatched	Saprinus scissus	Genus = Saprinus & Family = Histeridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Saprinus lubricus	wrong rank; too high	Saprinus lubricus	Genus = Saprinus & Family = Histeridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Saprinus sphaeriodes	unmatched	Saprinus sphaeriodes	Genus = Saprinus & Family = Histeridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Cryptarcha strigata	unmatched	Cryptarcha strigatula	
Scientific_Name	Melanopthalma	unmatched		Genus = Melanophthalma
Scientific_Name	Hyperoides choris	unmatched	Hyperoides choris	Genus = Hyperoides & Family = Curculionidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Drapetes geminatus	unmatched	Drapetes exstriatus	
Scientific_Name	Oxyomus poreatus	unmatched	Oxyomus sylvestris	
Scientific_Name	Aphodius vittatus	unmatched	Planolinus tenellus	
Scientific_Name	Aphodius punctatus	unmatched	Aphodius punctatus	Genus = Aphodius & Family = Scarabaeidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
Scientific_Name	Aphodius stercorosus	unmatched	Aphodius stercorosus	Genus = Aphodius & Family = Scarabaeidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no & Prey_Name_Status = accepted
