TAXON_ORDER,CATEGORY,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER,FAMILY,SPECIES_GROUP,REPORT_AS
9242,slash,souboo2,,Australian/Tasmanian Boobook,Ninox boobook/leucopsis,Strigiformes,Strigidae (Owls),Owls,
9243,species,morepo2,,Morepork,Ninox novaeseelandiae,Strigiformes,Strigidae (Owls),Owls,
9247,species,lauowl1,,Laughing Owl,Ninox albifacies,Strigiformes,Strigidae (Owls),Owls,
9248,species,lishao1,,Least Boobook,Ninox sumbaensis,Strigiformes,Strigidae (Owls),Owls,
9249,species,brnhao1,,Brown Boobook,Ninox scutulata,Strigiformes,Strigidae (Owls),Owls,
9259,species,brnhao3,,Hume's Boobook,Ninox obscura,Strigiformes,Strigidae (Owls),Owls,
9260,species,norboo1,,Northern Boobook,Ninox japonica,Strigiformes,Strigidae (Owls),Owls,
9263,slash,y00785,,Brown/Northern Boobook,Ninox scutulata/japonica,Strigiformes,Strigidae (Owls),Owls,
9264,species,choboo1,,Chocolate Boobook,Ninox randi,Strigiformes,Strigidae (Owls),Owls,
9265,species,phihao1,,Luzon Boobook,Ninox philippensis,Strigiformes,Strigidae (Owls),Owls,
9269,species,minboo1,,Mindanao Boobook,Ninox spilocephala,Strigiformes,Strigidae (Owls),Owls,
9270,species,minboo2,,Mindoro Boobook,Ninox mindorensis,Strigiformes,Strigidae (Owls),Owls,
9271,species,romboo1,,Romblon Boobook,Ninox spilonotus,Strigiformes,Strigidae (Owls),Owls,
9274,species,cebboo1,,Cebu Boobook,Ninox rumseyi,Strigiformes,Strigidae (Owls),Owls,
9275,species,camboo1,,Camiguin Boobook,Ninox leventisi,Strigiformes,Strigidae (Owls),Owls,
9276,species,sulboo1,,Sulu Boobook,Ninox reyi,Strigiformes,Strigidae (Owls),Owls,
9277,species,ocbhao1,,Ochre-bellied Boobook,Ninox ochracea,Strigiformes,Strigidae (Owls),Owls,
9278,species,toghao1,,Togian Boobook,Ninox burhani,Strigiformes,Strigidae (Owls),Owls,
9279,species,cinhao1,,Cinnabar Boobook,Ninox ios,Strigiformes,Strigidae (Owls),Owls,
9280,form,whshao1,,White-spotted Boobook (undescribed form),Ninox [undescribed form],Strigiformes,Strigidae (Owls),Owls,
9281,species,molhao3,,Halmahera Boobook,Ninox hypogramma,Strigiformes,Strigidae (Owls),Owls,
9282,species,molhao2,,Tanimbar Boobook,Ninox forbesi,Strigiformes,Strigidae (Owls),Owls,
9283,species,hanboo2,,Seram Boobook,Ninox squamipila,Strigiformes,Strigidae (Owls),Owls,
9284,species,hanboo1,,Buru Boobook,Ninox hantu,Strigiformes,Strigidae (Owls),Owls,
9285,species,chihao1,,Christmas Island Boobook,Ninox natalis,Strigiformes,Strigidae (Owls),Owls,
9286,species,junhao1,,Papuan Boobook,Ninox theomacha,Strigiformes,Strigidae (Owls),Owls,
9291,species,manhao1,,Manus Boobook,Ninox meeki,Strigiformes,Strigidae (Owls),Owls,
9292,species,spehao1,,Speckled Boobook,Ninox punctulata,Strigiformes,Strigidae (Owls),Owls,
9293,species,bishao1,,Bismarck Boobook,Ninox variegata,Strigiformes,Strigidae (Owls),Owls,
9296,species,nebhao1,,New Britain Boobook,Ninox odiosa,Strigiformes,Strigidae (Owls),Owls,
9297,spuh,booboo1,,boobook sp.,Ninox sp.,Strigiformes,Strigidae (Owls),Owls,
9298,species,paphao1,,Papuan Owl,Uroglaux dimorpha,Strigiformes,Strigidae (Owls),Owls,
9299,spuh,owl1,,owl sp.,Strigiformes sp.,Strigiformes,Strigidae (Owls),Owls,
9301,species,spemou2,,Speckled Mousebird,Colius striatus,Coliiformes,Coliidae (Mousebirds),Mousebirds,
9319,species,whhmou1,,White-headed Mousebird,Colius leucocephalus,Coliiformes,Coliidae (Mousebirds),Mousebirds,
9322,species,rebmou1,,Red-backed Mousebird,Colius castanotus,Coliiformes,Coliidae (Mousebirds),Mousebirds,
9323,species,whbmou1,,White-backed Mousebird,Colius colius,Coliiformes,Coliidae (Mousebirds),Mousebirds,
9326,species,blnmou1,,Blue-naped Mousebird,Urocolius macrourus,Coliiformes,Coliidae (Mousebirds),Mousebirds,
9334,species,refmou1,,Red-faced Mousebird,Urocolius indicus,Coliiformes,Coliidae (Mousebirds),Mousebirds,
9340,spuh,mouseb1,,mousebird sp.,Coliidae sp.,Coliiformes,Coliidae (Mousebirds),Mousebirds,
9342,species,cuckoo1,,Cuckoo-roller,Leptosomus discolor,Leptosomiformes,Leptosomidae (Cuckoo-roller),Cuckoo-roller,
9343,issf,cuckoo5,,Cuckoo-roller (Grande Comore),Leptosomus discolor gracilis,Leptosomiformes,Leptosomidae (Cuckoo-roller),Cuckoo-roller,cuckoo1
9344,issf,cuckoo6,,Cuckoo-roller (Anjouan),Leptosomus discolor intermedius,Leptosomiformes,Leptosomidae (Cuckoo-roller),Cuckoo-roller,cuckoo1
9345,issf,cuckoo7,,Cuckoo-roller (Malagasy),Leptosomus discolor discolor,Leptosomiformes,Leptosomidae (Cuckoo-roller),Cuckoo-roller,cuckoo1
9347,species,nartro1,,Narina Trogon,Apaloderma narina,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9352,species,bactro1,,Bare-cheeked Trogon,Apaloderma aequatoriale,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9353,species,battro1,,Bar-tailed Trogon,Apaloderma vittatum,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9356,spuh,afrtro1,,african trogon sp.,Apaloderma sp.,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9357,species,javtro1,,Javan Trogon,Apalharpactes reinwardtii,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9358,species,sumtro1,,Sumatran Trogon,Apalharpactes mackloti,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9359,species,orbtro2,,Orange-breasted Trogon,Harpactes oreskios,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9360,issf,orbtro5,,Orange-breasted Trogon (Spice),Harpactes oreskios [dulitensis Group],Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,orbtro2
9365,issf,orbtro4,,Orange-breasted Trogon (Orange-breasted),Harpactes oreskios oreskios,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,orbtro2
9366,species,maltro1,,Malabar Trogon,Harpactes fasciatus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9370,species,rentro1,,Red-naped Trogon,Harpactes kasumba,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9373,species,diatro1,,Diard's Trogon,Harpactes diardii,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9376,species,phitro1,,Philippine Trogon,Harpactes ardens,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9382,species,whitro1,,Whitehead's Trogon,Harpactes whiteheadi,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9383,species,cirtro1,,Cinnamon-rumped Trogon,Harpactes orrhophaeus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9386,species,scrtro1,,Scarlet-rumped Trogon,Harpactes duvaucelii,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9387,species,rehtro1,,Red-headed Trogon,Harpactes erythrocephalus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9397,species,wartro1,,Ward's Trogon,Harpactes wardi,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9398,spuh,asitro1,,asian trogon sp.,Apalharpactes/Harpactes sp.,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9399,species,earque,,Eared Quetzal,Euptilotis neoxenus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9400,species,pavque1,,Pavonine Quetzal,Pharomachrus pavoninus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9401,species,gohque1,,Golden-headed Quetzal,Pharomachrus auriceps,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9404,species,resque1,,Resplendent Quetzal,Pharomachrus mocinno,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9405,issf,resque2,,Resplendent Quetzal (Guatemalan),Pharomachrus mocinno mocinno,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,resque1
9406,issf,resque3,,Resplendent Quetzal (Costa Rican),Pharomachrus mocinno costaricensis,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,resque1
9407,species,whtque1,,White-tipped Quetzal,Pharomachrus fulgidus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9410,species,creque1,,Crested Quetzal,Pharomachrus antisianus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9411,hybrid,x01126,,Golden-headed x Crested Quetzal (hybrid),Pharomachrus auriceps x antisianus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9412,slash,y00787,,Golden-headed/Crested Quetzal,Pharomachrus auriceps/antisianus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9413,species,cubtro1,,Cuban Trogon,Priotelus temnurus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9416,species,histro1,,Hispaniolan Trogon,Priotelus roseigaster,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9417,species,lattro1,,Lattice-tailed Trogon,Trogon clathratus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9418,species,slttro1,,Slaty-tailed Trogon,Trogon massena,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9419,issf,slttro2,,Slaty-tailed Trogon (Massena),Trogon massena massena/hoffmanni,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,slttro1
9422,issf,slttro3,,Slaty-tailed Trogon (Chapman's),Trogon massena australis,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,slttro1
9423,species,buttro1,,Blue-tailed Trogon,Trogon comptus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9424,species,bkttro2,,Ecuadorian Trogon,Trogon mesurus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9425,species,blttro1,,Black-tailed Trogon,Trogon melanurus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9426,issf,bkttro3,,Black-tailed Trogon (Large-tailed),Trogon melanurus macroura,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,blttro1
9427,issf,bkttro1,,Black-tailed Trogon (Black-tailed),Trogon melanurus melanurus/eumorphus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,blttro1
9430,species,blhtro1,,Black-headed Trogon,Trogon melanocephalus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9433,species,cittro1,,Citreoline Trogon,Trogon citreolus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9436,species,whttro1,,White-tailed Trogon,Trogon chionurus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9437,species,gnbtro1,,Green-backed Trogon,Trogon viridis,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9438,species,baitro1,,Baird's Trogon,Trogon bairdii,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9439,species,gartro1,,Gartered Trogon,Trogon caligatus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9443,species,viotro2,,Guianan Trogon,Trogon violaceus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9444,species,viotro3,,Amazonian Trogon,Trogon ramonianus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9447,slash,viotro1,,Guianan/Amazonian Trogon,Trogon violaceus/ramonianus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9448,species,blctro1,,Blue-crowned Trogon,Trogon curucui,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9452,species,surtro1,,Surucua Trogon,Trogon surrucura,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9453,issf,surtro2,,Surucua Trogon (Orange-bellied),Trogon surrucura aurantius,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,surtro1
9454,issf,surtro3,,Surucua Trogon (Red-bellied),Trogon surrucura surrucura,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,surtro1
9455,hybrid,x01156,,Blue-crowned x Surucua Trogon (hybrid),Trogon curucui x surrucura,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9456,species,bkttro7,,Northern Black-throated Trogon,Trogon tenellus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9457,species,bkttro5,,Choco Black-throated Trogon,Trogon cupreicauda,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9458,species,bkttro6,,Amazonian Black-throated Trogon,Trogon rufus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9462,species,bkttro4,,Atlantic Black-throated Trogon,Trogon chrysochloros,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9463,issf,bkttro14,,Atlantic Black-throated Trogon (Alagoas),Trogon chrysochloros muriciensis,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,bkttro4
9464,issf,bkttro15,,Atlantic Black-throated Trogon (Southern),Trogon chrysochloros chrysochloros,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,bkttro4
9465,species,eletro,,Elegant Trogon,Trogon elegans,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9466,issf,eletro1,,Elegant Trogon (Coppery-tailed),Trogon elegans [ambiguus Group],Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,eletro
9470,issf,eletro2,,Elegant Trogon (Elegant),Trogon elegans elegans/lubricus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,eletro
9473,species,moutro1,,Mountain Trogon,Trogon mexicanus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9476,species,coltro1,,Collared Trogon,Trogon collaris,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9477,issf,coltro2,,Collared Trogon (Xalapa),Trogon collaris puella,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,coltro1
9478,issf,orbtro1,,Collared Trogon (Orange-bellied),Trogon collaris aurantiiventris/underwoodi,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,coltro1
9481,issf,coltro3,,Collared Trogon (Collared),Trogon collaris [collaris Group],Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,coltro1
9489,species,mastro1,,Masked Trogon,Trogon personatus,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9499,spuh,newtro1,,new world trogon sp.,Trogon sp.,Trogoniformes,Trogonidae (Trogons),Trogons and Quetzals,
9501,species,hoopoe,,Eurasian Hoopoe,Upupa epops,Bucerotiformes,Upupidae (Hoopoes),Hoopoes,
9502,issf,eurhoo1,,Eurasian Hoopoe (Eurasian),Upupa epops [epops Group],Bucerotiformes,Upupidae (Hoopoes),Hoopoes,hoopoe
9508,issf,eurhoo3,,Eurasian Hoopoe (Central African),Upupa epops senegalensis/waibeli,Bucerotiformes,Upupidae (Hoopoes),Hoopoes,hoopoe
9511,issf,eurhoo2,,Eurasian Hoopoe (African),Upupa epops africana,Bucerotiformes,Upupidae (Hoopoes),Hoopoes,hoopoe
9512,species,madhoo1,,Madagascar Hoopoe,Upupa marginata,Bucerotiformes,Upupidae (Hoopoes),Hoopoes,
9513,species,sthhoo1,,St. Helena Hoopoe,Upupa antaios,Bucerotiformes,Upupidae (Hoopoes),Hoopoes,
9515,species,grewoo2,,Green Woodhoopoe,Phoeniculus purpureus,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9522,species,viowoo1,,Violet Woodhoopoe,Phoeniculus damarensis,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9523,issf,viowoo2,,Violet Woodhoopoe (Violet),Phoeniculus damarensis damarensis,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,viowoo1
9524,issf,viowoo3,,Violet Woodhoopoe (Grant's),Phoeniculus damarensis granti,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,viowoo1
9525,slash,y00659,,Green/Violet Woodhoopoe,Phoeniculus purpureus/damarensis,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9526,species,blbwoo2,,Black-billed Woodhoopoe,Phoeniculus somaliensis,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9530,species,whhwoo1,,White-headed Woodhoopoe,Phoeniculus bollei,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9531,issf,whhwoo2,,White-headed Woodhoopoe (bollei/jacksoni),Phoeniculus bollei bollei/jacksoni,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,whhwoo1
9534,issf,whhwoo3,,White-headed Woodhoopoe (Oku),Phoeniculus bollei okuensis,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,whhwoo1
9535,spuh,woodho1,,woodhoopoe sp.,Phoeniculus sp.,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9536,species,forwoo1,,Forest Scimitarbill,Rhinopomastus castaneiceps,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9537,issf,forwoo2,,Forest Scimitarbill (Western),Rhinopomastus castaneiceps castaneiceps,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,forwoo1
9538,issf,forwoo3,,Forest Scimitarbill (Eastern),Rhinopomastus castaneiceps brunneiceps,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,forwoo1
9539,species,blsbil1,,Black Scimitarbill,Rhinopomastus aterrimus,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9544,species,cosbil1,,Common Scimitarbill,Rhinopomastus cyanomelas,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9547,species,absbil1,,Abyssinian Scimitarbill,Rhinopomastus minor,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9550,spuh,y00961,,woodhoopoe/scimitarbill sp.,Phoeniculus/Rhinopomastus sp.,Bucerotiformes,Phoeniculidae (Woodhoopoes and Scimitarbills),Woodhoopoes and Scimitarbills,
9552,species,noghor1,,Abyssinian Ground-Hornbill,Bucorvus abyssinicus,Bucerotiformes,Bucorvidae (Ground-Hornbills),Hornbills,
9553,species,soghor1,,Southern Ground-Hornbill,Bucorvus leadbeateri,Bucerotiformes,Bucorvidae (Ground-Hornbills),Hornbills,
9555,species,rbdhor1,,Red-billed Dwarf Hornbill,Lophoceros camurus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9556,species,crohor1,,Crowned Hornbill,Lophoceros alboterminatus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9557,species,brahor1,,Bradfield's Hornbill,Lophoceros bradfieldi,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9558,species,afphor2,,West African Pied Hornbill,Lophoceros semifasciatus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9559,species,afphor3,,Congo Pied Hornbill,Lophoceros fasciatus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9560,slash,afphor1,,West African/Congo Pied Hornbill,Lophoceros semifasciatus/fasciatus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9561,species,hemhor1,,Hemprich's Hornbill,Lophoceros hemprichii,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9562,species,afghor1,,African Gray Hornbill,Lophoceros nasutus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9565,species,pabhor1,,Pale-billed Hornbill,Lophoceros pallidirostris,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9568,spuh,lophoc1,,Lophoceros sp.,Lophoceros sp.,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9569,species,eybhor1,,Eastern Yellow-billed Hornbill,Tockus flavirostris,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9570,species,sybhor1,,Southern Yellow-billed Hornbill,Tockus leucomelas,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9573,species,jachor1,,Jackson's Hornbill,Tockus jacksoni,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9574,species,vddhor1,,Von der Decken's Hornbill,Tockus deckeni,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9575,species,monhor1,,Monteiro's Hornbill,Tockus monteiri,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9576,species,srbhor1,,Southern Red-billed Hornbill,Tockus rufirostris,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9577,species,drbhor1,,Damara Red-billed Hornbill,Tockus damarensis,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9578,hybrid,x00667,,Southern x Damara Red-billed Hornbill (hybrid),Tockus rufirostris x damarensis,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9579,slash,y01291,,Southern/Damara Red-billed Hornbill,Tockus rufirostris/damarensis,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9580,species,trbhor1,,Tanzanian Red-billed Hornbill,Tockus ruahae,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9581,species,wrbhor2,,Western Red-billed Hornbill,Tockus kempi,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9582,species,rebhor1,,Northern Red-billed Hornbill,Tockus erythrorhynchus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9583,spuh,tockus1,,Tockus sp.,Tockus sp.,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9584,species,whchor2,,White-crowned Hornbill,Berenicornis comatus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9585,species,whchor1,,Western Long-tailed Hornbill,Horizocerus albocristatus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9588,species,whchor4,,Eastern Long-tailed Hornbill,Horizocerus cassini,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9589,slash,whchor3,,Western/Eastern Long-tailed Hornbill,Horizocerus albocristatus/cassini,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9590,species,bkdhor1,,Western Dwarf Hornbill,Horizocerus hartlaubi,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9591,species,bkdhor2,,Eastern Dwarf Hornbill,Horizocerus granti,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9592,slash,bldhor1,,Western/Eastern Dwarf Hornbill,Horizocerus hartlaubi/granti,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9593,species,yechor1,,Yellow-casqued Hornbill,Ceratogymna elata,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9594,species,blchor1,,Black-casqued Hornbill,Ceratogymna atrata,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9595,slash,y00865,,Yellow-casqued/Black-casqued Hornbill,Ceratogymna elata/atrata,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9596,species,sichor1,,Silvery-cheeked Hornbill,Bycanistes brevis,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9597,species,bawhor2,,Black-and-white-casqued Hornbill,Bycanistes subcylindricus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9600,species,bnchor1,,Brown-cheeked Hornbill,Bycanistes cylindricus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9601,species,whthor1,,White-thighed Hornbill,Bycanistes albotibialis,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9602,species,truhor1,,Trumpeter Hornbill,Bycanistes bucinator,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9603,species,piphor1,,Piping Hornbill,Bycanistes fistulator,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9604,issf,piphor2,,Piping Hornbill (Western),Bycanistes fistulator fistulator,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,piphor1
9605,issf,piphor3,,Piping Hornbill (Eastern),Bycanistes fistulator sharpii/duboisi,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,piphor1
9608,species,helhor1,,Helmeted Hornbill,Rhinoplax vigil,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9609,species,rufhor1,,Rufous Hornbill,Buceros hydrocorax,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9610,issf,rufhor3,,Rufous Hornbill (Northern),Buceros hydrocorax hydrocorax,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,rufhor1
9611,issf,rufhor6,,Rufous Hornbill (Visayan),Buceros hydrocorax semigaleatus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,rufhor1
9612,issf,rufhor4,,Rufous Hornbill (Southern),Buceros hydrocorax mindanensis,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,rufhor1
9613,species,rhihor1,,Rhinoceros Hornbill,Buceros rhinoceros,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9617,species,grehor1,,Great Hornbill,Buceros bicornis,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9618,slash,y00396,,Rhinoceros/Great Hornbill,Buceros rhinoceros/bicornis,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9619,species,buchor1,,Bushy-crested Hornbill,Anorrhinus galeritus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9620,species,brnhor1,,Brown Hornbill,Anorrhinus austeni,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9621,species,ruchor1,,Rusty-cheeked Hornbill,Anorrhinus tickelli,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9622,species,inghor2,,Indian Gray Hornbill,Ocyceros birostris,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9623,species,maghor2,,Malabar Gray Hornbill,Ocyceros griseus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9624,slash,y00397,,Indian/Malabar Gray Hornbill,Ocyceros birostris/griseus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9625,species,ceghor1,,Sri Lanka Gray Hornbill,Ocyceros gingalensis,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9626,species,blahor1,,Black Hornbill,Anthracoceros malayanus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9627,species,sulhor2,,Sulu Hornbill,Anthracoceros montani,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9628,species,maphor1,,Malabar Pied-Hornbill,Anthracoceros coronatus,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9629,species,orphor1,,Oriental Pied-Hornbill,Anthracoceros albirostris,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9632,slash,y01097,,Malabar/Oriental Pied-Hornbill,Anthracoceros coronatus/albirostris,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9633,species,palhor1,,Palawan Hornbill,Anthracoceros marchei,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9634,species,runhor1,,Rufous-necked Hornbill,Aceros nipalensis,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9635,species,knohor1,,Knobbed Hornbill,Rhyticeros cassidix,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
9636,species,sumhor1,,Sumba Hornbill,Rhyticeros everetti,Bucerotiformes,Bucerotidae (Hornbills),Hornbills,
