Order,CommonName,SciName,Status
172,White-throated Swift,Aeronautes saxatalis,
173,Antillean Palm-Swift,Tachornis phoenicobia,Rare/Accidental
174,Mexican Violetear,Colibri thalassinus,
175,Lesser Violetear,Colibri cyanotus,
176,Green-breasted Mango,Anthracothorax prevostii,Rare/Accidental
177,Rivoli's Hummingbird,Eugenes fulgens,
178,Plain-capped Starthroat,Heliomaster constantii,
179,Amethyst-throated Hummingbird,Lampornis amethystinus,Rare/Accidental
180,Blue-throated Hummingbird,Lampornis clemenciae,
181,Lucifer Hummingbird,Calothorax lucifer,
182,Bahama Woodstar,Calliphlox evelynae,Rare/Accidental
183,Ruby-throated Hummingbird,Archilochus colubris,
184,Black-chinned Hummingbird,Archilochus alexandri,
185,Anna's Hummingbird,Calypte anna,
186,Costa's Hummingbird,Calypte costae,
187,Bumblebee Hummingbird,Atthis heloisa,Rare/Accidental
188,Broad-tailed Hummingbird,Selasphorus platycercus,
189,Rufous Hummingbird,Selasphorus rufus,
190,Allen's Hummingbird,Selasphorus sasin,
191,Calliope Hummingbird,Selasphorus calliope,
192,Broad-billed Hummingbird,Cynanthus latirostris,
193,Berylline Hummingbird,Amazilia beryllina,
194,Buff-bellied Hummingbird,Amazilia yucatanensis,
195,Cinnamon Hummingbird,Amazilia rutila,Rare/Accidental
196,Violet-crowned Hummingbird,Amazilia violiceps,
197,White-eared Hummingbird,Hylocharis leucotis,
198,Xantus's Hummingbird,Hylocharis xantusii,Rare/Accidental
199,Ridgway's Rail,Rallus obsoletus,Near-threatened
200,King Rail,Rallus elegans,Near-threatened
201,Clapper Rail,Rallus crepitans,
202,Virginia Rail,Rallus limicola,
203,Corn Crake,Crex crex,Rare/Accidental
204,Paint-billed Crake,Mustelirallus erythrops,Rare/Accidental
205,Spotted Rail,Pardirallus maculatus,Rare/Accidental
206,Rufous-necked Wood-Rail,Aramides axillaris,Rare/Accidental
207,Sora,Porzana carolina,
208,Eurasian Moorhen,Gallinula chloropus,Rare/Accidental
209,Common Gallinule,Gallinula galeata,
210,Eurasian Coot,Fulica atra,
211,Hawaiian Coot,Fulica alai,Endemic Vulnerable
212,American Coot,Fulica americana,
213,Purple Gallinule,Porphyrio martinica,
214,Azure Gallinule,Porphyrio flavirostris,Rare/Accidental
215,Western Swamphen,Porphyrio porphyrio,Introduced species (non established)
216,Gray-headed Swamphen,Porphyrio poliocephalus,Introduced species (non established)
217,Laysan Rail,Zapornia palmeri,Endemic Extinct
218,Hawaiian Rail,Zapornia sandwichensis,Endemic Extinct
219,Yellow Rail,Coturnicops noveboracensis,
220,Black Rail,Laterallus jamaicensis,
221,Sungrebe,Heliornis fulica,Rare/Accidental
222,Limpkin,Aramus guarauna,
223,Gray Crowned-Crane,Balearica regulorum,Introduced species Endangered
224,Sandhill Crane,Antigone canadensis,
225,Sarus Crane,Antigone antigone,Introduced species Vulnerable
226,Common Crane,Grus grus,
227,Hooded Crane,Grus monacha,Rare/Accidental Vulnerable
228,Whooping Crane,Grus americana,Endangered
229,Double-striped Thick-knee,Burhinus bistriatus,Rare/Accidental
230,Black-winged Stilt,Himantopus himantopus,Rare/Accidental
231,Black-necked Stilt,Himantopus mexicanus,
232,American Avocet,Recurvirostra americana,
233,Eurasian Oystercatcher,Haematopus ostralegus,Rare/Accidental
234,American Oystercatcher,Haematopus palliatus,
235,Black Oystercatcher,Haematopus bachmani,
236,Black-bellied Plover,Pluvialis squatarola,
237,European Golden-Plover,Pluvialis apricaria,Rare/Accidental
238,American Golden-Plover,Pluvialis dominica,
239,Pacific Golden-Plover,Pluvialis fulva,
240,Northern Lapwing,Vanellus vanellus,Rare/Accidental Near-threatened
241,Sociable Lapwing,Vanellus gregarius,Rare/Accidental Critically endangered
242,Lesser Sand-Plover,Charadrius mongolus,
243,Greater Sand-Plover,Charadrius leschenaultii,Rare/Accidental
244,Collared Plover,Charadrius collaris,Rare/Accidental
245,Snowy Plover,Charadrius nivosus,Near-threatened
246,Wilson's Plover,Charadrius wilsonia,
247,Common Ringed Plover,Charadrius hiaticula,
248,Semipalmated Plover,Charadrius semipalmatus,
249,Piping Plover,Charadrius melodus,Near-threatened
250,Little Ringed Plover,Charadrius dubius,
251,Killdeer,Charadrius vociferus,
252,Mountain Plover,Charadrius montanus,Near-threatened
253,Eurasian Dotterel,Charadrius morinellus,
254,Northern Jacana,Jacana spinosa,
255,Upland Sandpiper,Bartramia longicauda,
256,Bristle-thighed Curlew,Numenius tahitiensis,Vulnerable
257,Whimbrel,Numenius phaeopus,
258,Little Curlew,Numenius minutus,
259,Eskimo Curlew,Numenius borealis,Rare/Accidental Critically endangered (possibly extinct)
260,Long-billed Curlew,Numenius americanus,
261,Far Eastern Curlew,Numenius madagascariensis,Endangered
262,Slender-billed Curlew,Numenius tenuirostris,Rare/Accidental Critically endangered
263,Eurasian Curlew,Numenius arquata,Rare/Accidental Near-threatened
264,Bar-tailed Godwit,Limosa lapponica,Near-threatened
265,Black-tailed Godwit,Limosa limosa,Near-threatened
266,Hudsonian Godwit,Limosa haemastica,
267,Marbled Godwit,Limosa fedoa,
268,Ruddy Turnstone,Arenaria interpres,
269,Black Turnstone,Arenaria melanocephala,
270,Great Knot,Calidris tenuirostris,Endangered
271,Red Knot,Calidris canutus,Near-threatened
272,Surfbird,Calidris virgata,
273,Ruff,Calidris pugnax,
274,Broad-billed Sandpiper,Calidris falcinellus,Rare/Accidental
275,Sharp-tailed Sandpiper,Calidris acuminata,
276,Stilt Sandpiper,Calidris himantopus,
277,Curlew Sandpiper,Calidris ferruginea,Near-threatened
278,Temminck's Stint,Calidris temminckii,Rare/Accidental
279,Long-toed Stint,Calidris subminuta,
280,Spoon-billed Sandpiper,Calidris pygmea,Critically endangered
281,Red-necked Stint,Calidris ruficollis,Near-threatened
282,Sanderling,Calidris alba,
283,Dunlin,Calidris alpina,
284,Rock Sandpiper,Calidris ptilocnemis,
285,Purple Sandpiper,Calidris maritima,
286,Baird's Sandpiper,Calidris bairdii,
287,Little Stint,Calidris minuta,
288,Least Sandpiper,Calidris minutilla,
289,White-rumped Sandpiper,Calidris fuscicollis,
290,Buff-breasted Sandpiper,Calidris subruficollis,Near-threatened
291,Pectoral Sandpiper,Calidris melanotos,
292,Semipalmated Sandpiper,Calidris pusilla,Near-threatened
293,Western Sandpiper,Calidris mauri,
294,Short-billed Dowitcher,Limnodromus griseus,
295,Long-billed Dowitcher,Limnodromus scolopaceus,
296,Jack Snipe,Lymnocryptes minimus,
297,Eurasian Woodcock,Scolopax rusticola,Rare/Accidental
298,American Woodcock,Scolopax minor,
299,Solitary Snipe,Gallinago solitaria,Rare/Accidental
300,Common Snipe,Gallinago gallinago,
301,Wilson's Snipe,Gallinago delicata,
302,Pin-tailed Snipe,Gallinago stenura,
303,Terek Sandpiper,Xenus cinereus,
304,Wilson's Phalarope,Phalaropus tricolor,
305,Red-necked Phalarope,Phalaropus lobatus,
306,Red Phalarope,Phalaropus fulicarius,
307,Common Sandpiper,Actitis hypoleucos,
308,Spotted Sandpiper,Actitis macularius,
309,Green Sandpiper,Tringa ochropus,
310,Solitary Sandpiper,Tringa solitaria,
311,Gray-tailed Tattler,Tringa brevipes,Rare/Accidental Near-threatened
312,Wandering Tattler,Tringa incana,
313,Spotted Redshank,Tringa erythropus,
314,Greater Yellowlegs,Tringa melanoleuca,
315,Common Greenshank,Tringa nebularia,
316,Willet,Tringa semipalmata,
317,Lesser Yellowlegs,Tringa flavipes,
318,Marsh Sandpiper,Tringa stagnatilis,
319,Wood Sandpiper,Tringa glareola,
320,Common Redshank,Tringa totanus,Rare/Accidental
321,Oriental Pratincole,Glareola maldivarum,
322,Great Skua,Stercorarius skua,
323,South Polar Skua,Stercorarius maccormicki,
324,Pomarine Jaeger,Stercorarius pomarinus,
