"common_name","sci_name","code","family","order"
"Island Scrub-Jay","Aphelocoma insularis",2,"Corvidae","Passeriformes"
"Mexican Jay","Aphelocoma wollweberi",2,"Corvidae","Passeriformes"
"Woodhouse's Scrub-Jay","Aphelocoma woodhouseii",1,"Corvidae","Passeriformes"
"American Crow","Corvus brachyrhynchos",1,"Corvidae","Passeriformes"
"Northwestern Crow","Corvus caurinus",1,"Corvidae","Passeriformes"
"Common Raven","Corvus corax",1,"Corvidae","Passeriformes"
"Chihuahuan Raven","Corvus cryptoleucus",1,"Corvidae","Passeriformes"
"Fish Crow","Corvus ossifragus",1,"Corvidae","Passeriformes"
"Blue Jay","Cyanocitta cristata",1,"Corvidae","Passeriformes"
"Steller's Jay","Cyanocitta stelleri",1,"Corvidae","Passeriformes"
"Green Jay","Cyanocorax yncas",2,"Corvidae","Passeriformes"
"Pinyon Jay","Gymnorhinus cyanocephalus",1,"Corvidae","Passeriformes"
"Clark's Nutcracker","Nucifraga columbiana",1,"Corvidae","Passeriformes"
"Canada Jay","Perisoreus canadensis",1,"Corvidae","Passeriformes"
"Black-billed Magpie","Pica hudsonia",1,"Corvidae","Passeriformes"
"Yellow-billed Magpie","Pica nuttalli",2,"Corvidae","Passeriformes"
"Rustic Bunting","Emberiza rustica",3,"Emberizidae","Passeriformes"
"Red Avadavat","Amandava amandava",2,"Estrildidae","Passeriformes"
"Common Waxbill","Estrilda astrild",2,"Estrildidae","Passeriformes"
"African Silverbill","Euodice cantans",2,"Estrildidae","Passeriformes"
"Chestnut Munia","Lonchura atricapilla",2,"Estrildidae","Passeriformes"
"Java Sparrow","Lonchura oryzivora",2,"Estrildidae","Passeriformes"
"Scaly-breasted Munia","Lonchura punctulata",2,"Estrildidae","Passeriformes"
"Common Redpoll","Acanthis flammea",1,"Fringillidae","Passeriformes"
"Hoary Redpoll","Acanthis hornemanni",2,"Fringillidae","Passeriformes"
"Oahu Amakihi","Chlorodrepanis flava",2,"Fringillidae","Passeriformes"
"Kauai Amakihi","Chlorodrepanis stejnegeri",2,"Fringillidae","Passeriformes"
"Hawaii Amakihi","Chlorodrepanis virens",2,"Fringillidae","Passeriformes"
"Evening Grosbeak","Coccothraustes vespertinus",1,"Fringillidae","Passeriformes"
"Yellow-fronted Canary","Crithagra mozambica",2,"Fringillidae","Passeriformes"
"Iiwi","Drepanis coccinea",2,"Fringillidae","Passeriformes"
"Brambling","Fringilla montifringilla",3,"Fringillidae","Passeriformes"
"Cassin's Finch","Haemorhous cassinii",1,"Fringillidae","Passeriformes"
"House Finch","Haemorhous mexicanus",1,"Fringillidae","Passeriformes"
"Purple Finch","Haemorhous purpureus",1,"Fringillidae","Passeriformes"
"Akiapolaau","Hemignathus wilsoni",3,"Fringillidae","Passeriformes"
"Apapane","Himatione sanguinea",2,"Fringillidae","Passeriformes"
"Black Rosy-Finch","Leucosticte atrata",2,"Fringillidae","Passeriformes"
"Brown-capped Rosy-Finch","Leucosticte australis",2,"Fringillidae","Passeriformes"
"Gray-crowned Rosy-Finch","Leucosticte tephrocotis",1,"Fringillidae","Passeriformes"
"Red Crossbill","Loxia curvirostra",1,"Fringillidae","Passeriformes"
"White-winged Crossbill","Loxia leucoptera",2,"Fringillidae","Passeriformes"
"Cassia Crossbill","Loxia sinesciuris",2,"Fringillidae","Passeriformes"
"Palila","Loxioides bailleui",3,"Fringillidae","Passeriformes"
"Akekee","Loxops caeruleirostris",3,"Fringillidae","Passeriformes"
"Hawaii Akepa","Loxops coccineus",3,"Fringillidae","Passeriformes"
"Hawaii Creeper","Loxops mana",3,"Fringillidae","Passeriformes"
"Anianiau","Magumma parva",2,"Fringillidae","Passeriformes"
"Akikiki","Oreomystis bairdi",3,"Fringillidae","Passeriformes"
"Akohekohe","Palmeria dolei",3,"Fringillidae","Passeriformes"
"Maui Alauahio","Paroreomyza montana",2,"Fringillidae","Passeriformes"
"Pine Grosbeak","Pinicola enucleator",1,"Fringillidae","Passeriformes"
"Maui Parrotbill","Pseudonestor xanthophrys",3,"Fringillidae","Passeriformes"
"Island Canary","Serinus canaria",3,"Fringillidae","Passeriformes"
"Lawrence's Goldfinch","Spinus lawrencei",2,"Fringillidae","Passeriformes"
"Pine Siskin","Spinus pinus",1,"Fringillidae","Passeriformes"
"Lesser Goldfinch","Spinus psaltria",1,"Fringillidae","Passeriformes"
"American Goldfinch","Spinus tristis",1,"Fringillidae","Passeriformes"
"Laysan Finch","Telespiza cantans",3,"Fringillidae","Passeriformes"
"Nihoa Finch","Telespiza ultima",3,"Fringillidae","Passeriformes"
"Barn Swallow","Hirundo rustica",1,"Hirundinidae","Passeriformes"
"Cave Swallow","Petrochelidon fulva",1,"Hirundinidae","Passeriformes"
"Cliff Swallow","Petrochelidon pyrrhonota",1,"Hirundinidae","Passeriformes"
"Purple Martin","Progne subis",1,"Hirundinidae","Passeriformes"
"Bank Swallow","Riparia riparia",1,"Hirundinidae","Passeriformes"
"Northern Rough-winged Swallow","Stelgidopteryx serripennis",1,"Hirundinidae","Passeriformes"
"Tree Swallow","Tachycineta bicolor",1,"Hirundinidae","Passeriformes"
"Violet-green Swallow","Tachycineta thalassina",1,"Hirundinidae","Passeriformes"
"Red-winged Blackbird","Agelaius phoeniceus",1,"Icteridae","Passeriformes"
"Tricolored Blackbird","Agelaius tricolor",2,"Icteridae","Passeriformes"
"Bobolink","Dolichonyx oryzivorus",1,"Icteridae","Passeriformes"
"Rusty Blackbird","Euphagus carolinus",1,"Icteridae","Passeriformes"
"Brewer's Blackbird","Euphagus cyanocephalus",1,"Icteridae","Passeriformes"
"Bullock's Oriole","Icterus bullockii",1,"Icteridae","Passeriformes"
"Hooded Oriole","Icterus cucullatus",1,"Icteridae","Passeriformes"
"Baltimore Oriole","Icterus galbula",1,"Icteridae","Passeriformes"
"Audubon's Oriole","Icterus graduacauda",2,"Icteridae","Passeriformes"
"Altamira Oriole","Icterus gularis",2,"Icteridae","Passeriformes"
"Scott's Oriole","Icterus parisorum",1,"Icteridae","Passeriformes"
"Spot-breasted Oriole","Icterus pectoralis",2,"Icteridae","Passeriformes"
"Orchard Oriole","Icterus spurius",1,"Icteridae","Passeriformes"
"Bronzed Cowbird","Molothrus aeneus",1,"Icteridae","Passeriformes"
"Brown-headed Cowbird","Molothrus ater",1,"Icteridae","Passeriformes"
"Shiny Cowbird","Molothrus bonariensis",3,"Icteridae","Passeriformes"
"Boat-tailed Grackle","Quiscalus major",1,"Icteridae","Passeriformes"
"Great-tailed Grackle","Quiscalus mexicanus",1,"Icteridae","Passeriformes"
"Common Grackle","Quiscalus quiscula",1,"Icteridae","Passeriformes"
"Eastern Meadowlark","Sturnella magna",1,"Icteridae","Passeriformes"
"Western Meadowlark","Sturnella neglecta",1,"Icteridae","Passeriformes"
"Yellow-headed Blackbird","Xanthocephalus xanthocephalus",1,"Icteridae","Passeriformes"
"Yellow-breasted Chat","Icteria virens",1,"Icteriidae","Passeriformes"
"Northern Shrike","Lanius borealis",1,"Laniidae","Passeriformes"
"Loggerhead Shrike","Lanius ludovicianus",1,"Laniidae","Passeriformes"
"Chinese Hwamei","Garrulax canorus",2,"Leiothrichidae","Passeriformes"
"Greater Necklaced Laughingthrush","Ianthocincla pectoralis",3,"Leiothrichidae","Passeriformes"
"Red-billed Leiothrix","Leiothrix lutea",2,"Leiothrichidae","Passeriformes"
"Gray Catbird","Dumetella carolinensis",1,"Mimidae","Passeriformes"
"Northern Mockingbird","Mimus polyglottos",1,"Mimidae","Passeriformes"
"Sage Thrasher","Oreoscoptes montanus",1,"Mimidae","Passeriformes"
"Bendire's Thrasher","Toxostoma bendirei",2,"Mimidae","Passeriformes"
"Crissal Thrasher","Toxostoma crissale",2,"Mimidae","Passeriformes"
"Curve-billed Thrasher","Toxostoma curvirostre",1,"Mimidae","Passeriformes"
"LeConte's Thrasher","Toxostoma lecontei",2,"Mimidae","Passeriformes"
"Long-billed Thrasher","Toxostoma longirostre",2,"Mimidae","Passeriformes"
"California Thrasher","Toxostoma redivivum",2,"Mimidae","Passeriformes"
"Brown Thrasher","Toxostoma rufum",1,"Mimidae","Passeriformes"
"Oahu Elepaio","Chasiempis ibidis",3,"Monarchidae","Passeriformes"
"Hawaii Elepaio","Chasiempis sandwichensis",2,"Monarchidae","Passeriformes"
"Kauai Elepaio","Chasiempis sclateri",2,"Monarchidae","Passeriformes"
"Red-throated Pipit","Anthus cervinus",3,"Motacillidae","Passeriformes"
"Olive-backed Pipit","Anthus hodgsoni",3,"Motacillidae","Passeriformes"
"American Pipit","Anthus rubescens",1,"Motacillidae","Passeriformes"
"Sprague's Pipit","Anthus spragueii",2,"Motacillidae","Passeriformes"
"White Wagtail","Motacilla alba",3,"Motacillidae","Passeriformes"
"Eastern Yellow Wagtail","Motacilla tschutschensis",2,"Motacillidae","Passeriformes"
"Siberian Rubythroat","Calliope calliope",3,"Muscicapidae","Passeriformes"
"White-rumped Shama","Copsychus malabaricus",2,"Muscicapidae","Passeriformes"
"Bluethroat","Luscinia svecica",2,"Muscicapidae","Passeriformes"
"Northern Wheatear","Oenanthe oenanthe",2,"Muscicapidae","Passeriformes"
"Black-crested Titmouse","Baeolophus atricristatus",2,"Paridae","Passeriformes"
"Tufted Titmouse","Baeolophus bicolor",1,"Paridae","Passeriformes"
"Oak Titmouse","Baeolophus inornatus",1,"Paridae","Passeriformes"
"Juniper Titmouse","Baeolophus ridgwayi",1,"Paridae","Passeriformes"
"Bridled Titmouse","Baeolophus wollweberi",2,"Paridae","Passeriformes"
"Black-capped Chickadee","Poecile atricapillus",1,"Paridae","Passeriformes"
"Carolina Chickadee","Poecile carolinensis",1,"Paridae","Passeriformes"
"Gray-headed Chickadee","Poecile cinctus",3,"Paridae","Passeriformes"
"Mountain Chickadee","Poecile gambeli",1,"Paridae","Passeriformes"
"Boreal Chickadee","Poecile hudsonicus",1,"Paridae","Passeriformes"
"Chestnut-backed Chickadee","Poecile rufescens",1,"Paridae","Passeriformes"
"Mexican Chickadee","Poecile sclateri",2,"Paridae","Passeriformes"
"Rufous-capped Warbler","Basileuterus rufifrons",3,"Parulidae","Passeriformes"
"Canada Warbler","Cardellina canadensis",1,"Parulidae","Passeriformes"
"Wilson's Warbler","Cardellina pusilla",1,"Parulidae","Passeriformes"
"Red-faced Warbler","Cardellina rubrifrons",2,"Parulidae","Passeriformes"
"Kentucky Warbler","Geothlypis formosa",1,"Parulidae","Passeriformes"
"Mourning Warbler","Geothlypis philadelphia",1,"Parulidae","Passeriformes"
"MacGillivray's Warbler","Geothlypis tolmiei",1,"Parulidae","Passeriformes"
"Common Yellowthroat","Geothlypis trichas",1,"Parulidae","Passeriformes"
"Worm-eating Warbler","Helmitheros vermivorum",1,"Parulidae","Passeriformes"
"Orange-crowned Warbler","Leiothlypis celata",1,"Parulidae","Passeriformes"
"Colima Warbler","Leiothlypis crissalis",2,"Parulidae","Passeriformes"
"Lucy's Warbler","Leiothlypis luciae",1,"Parulidae","Passeriformes"
"Tennessee Warbler","Leiothlypis peregrina",1,"Parulidae","Passeriformes"
"Nashville Warbler","Leiothlypis ruficapilla",1,"Parulidae","Passeriformes"
"Virginia's Warbler","Leiothlypis virginiae",1,"Parulidae","Passeriformes"
"Swainson's Warbler","Limnothlypis swainsonii",2,"Parulidae","Passeriformes"
"Black-and-white Warbler","Mniotilta varia",1,"Parulidae","Passeriformes"
"Painted Redstart","Myioborus pictus",2,"Parulidae","Passeriformes"
"Connecticut Warbler","Oporornis agilis",2,"Parulidae","Passeriformes"
"Louisiana Waterthrush","Parkesia motacilla",1,"Parulidae","Passeriformes"
"Northern Waterthrush","Parkesia noveboracensis",1,"Parulidae","Passeriformes"
"Prothonotary Warbler","Protonotaria citrea",1,"Parulidae","Passeriformes"
"Ovenbird","Seiurus aurocapilla",1,"Parulidae","Passeriformes"
"Northern Parula","Setophaga americana",1,"Parulidae","Passeriformes"
"Black-throated Blue Warbler","Setophaga caerulescens",1,"Parulidae","Passeriformes"
"Bay-breasted Warbler","Setophaga castanea",1,"Parulidae","Passeriformes"
"Cerulean Warbler","Setophaga cerulea",2,"Parulidae","Passeriformes"
"Golden-cheeked Warbler","Setophaga chrysoparia",2,"Parulidae","Passeriformes"
"Hooded Warbler","Setophaga citrina",1,"Parulidae","Passeriformes"
"Yellow-rumped Warbler","Setophaga coronata",1,"Parulidae","Passeriformes"
"Prairie Warbler","Setophaga discolor",1,"Parulidae","Passeriformes"
"Yellow-throated Warbler","Setophaga dominica",1,"Parulidae","Passeriformes"
"Blackburnian Warbler","Setophaga fusca",1,"Parulidae","Passeriformes"
"Grace's Warbler","Setophaga graciae",1,"Parulidae","Passeriformes"
"Kirtland's Warbler","Setophaga kirtlandii",2,"Parulidae","Passeriformes"
"Magnolia Warbler","Setophaga magnolia",1,"Parulidae","Passeriformes"
"Black-throated Gray Warbler","Setophaga nigrescens",1,"Parulidae","Passeriformes"
"Hermit Warbler","Setophaga occidentalis",1,"Parulidae","Passeriformes"
"Palm Warbler","Setophaga palmarum",1,"Parulidae","Passeriformes"
"Chestnut-sided Warbler","Setophaga pensylvanica",1,"Parulidae","Passeriformes"
"Yellow Warbler","Setophaga petechia",1,"Parulidae","Passeriformes"
"Pine Warbler","Setophaga pinus",1,"Parulidae","Passeriformes"
"Tropical Parula","Setophaga pitiayumi",3,"Parulidae","Passeriformes"
"American Redstart","Setophaga ruticilla",1,"Parulidae","Passeriformes"
"Blackpoll Warbler","Setophaga striata",1,"Parulidae","Passeriformes"
"Cape May Warbler","Setophaga tigrina",1,"Parulidae","Passeriformes"
"Townsend's Warbler","Setophaga townsendi",1,"Parulidae","Passeriformes"
"Black-throated Green Warbler","Setophaga virens",1,"Parulidae","Passeriformes"
"Golden-winged Warbler","Vermivora chrysoptera",2,"Parulidae","Passeriformes"
"Blue-winged Warbler","Vermivora cyanoptera",1,"Parulidae","Passeriformes"
"Rufous-crowned Sparrow","Aimophila ruficeps",1,"Passerellidae","Passeriformes"
"Grasshopper Sparrow","Ammodramus savannarum",1,"Passerellidae","Passeriformes"
"Saltmarsh Sparrow","Ammospiza caudacuta",1,"Passerellidae","Passeriformes"
"LeConte's Sparrow","Ammospiza leconteii",1,"Passerellidae","Passeriformes"
"Seaside Sparrow","Ammospiza maritima",1,"Passerellidae","Passeriformes"
"Nelson's Sparrow","Ammospiza nelsoni",1,"Passerellidae","Passeriformes"
"Black-throated Sparrow","Amphispiza bilineata",1,"Passerellidae","Passeriformes"
"Five-striped Sparrow","Amphispiza quinquestriata",3,"Passerellidae","Passeriformes"
"Olive Sparrow","Arremonops rufivirgatus",2,"Passerellidae","Passeriformes"
"Bell's Sparrow","Artemisiospiza belli",1,"Passerellidae","Passeriformes"
"Sagebrush Sparrow","Artemisiospiza nevadensis",1,"Passerellidae","Passeriformes"
"Lark Bunting","Calamospiza melanocorys",1,"Passerellidae","Passeriformes"
"Baird's Sparrow","Centronyx bairdii",2,"Passerellidae","Passeriformes"
"Henslow's Sparrow","Centronyx henslowii",2,"Passerellidae","Passeriformes"
"Lark Sparrow","Chondestes grammacus",1,"Passerellidae","Passeriformes"
"Dark-eyed Junco","Junco hyemalis",1,"Passerellidae","Passeriformes"
"Yellow-eyed Junco","Junco phaeonotus",2,"Passerellidae","Passeriformes"
"Swamp Sparrow","Melospiza georgiana",1,"Passerellidae","Passeriformes"
"Lincoln's Sparrow","Melospiza lincolnii",1,"Passerellidae","Passeriformes"
"Song Sparrow","Melospiza melodia",1,"Passerellidae","Passeriformes"
"Abert's Towhee","Melozone aberti",1,"Passerellidae","Passeriformes"
"California Towhee","Melozone crissalis",1,"Passerellidae","Passeriformes"
"Canyon Towhee","Melozone fusca",1,"Passerellidae","Passeriformes"
"Savannah Sparrow","Passerculus sandwichensis",1,"Passerellidae","Passeriformes"
"Fox Sparrow","Passerella iliaca",1,"Passerellidae","Passeriformes"
"Bachman's Sparrow","Peucaea aestivalis",1,"Passerellidae","Passeriformes"
"Botteri's Sparrow","Peucaea botterii",2,"Passerellidae","Passeriformes"
"Rufous-winged Sparrow","Peucaea carpalis",2,"Passerellidae","Passeriformes"
"Cassin's Sparrow","Peucaea cassinii",1,"Passerellidae","Passeriformes"
"Green-tailed Towhee","Pipilo chlorurus",1,"Passerellidae","Passeriformes"
"Eastern Towhee","Pipilo erythrophthalmus",1,"Passerellidae","Passeriformes"
"Spotted Towhee","Pipilo maculatus",1,"Passerellidae","Passeriformes"
"Vesper Sparrow","Pooecetes gramineus",1,"Passerellidae","Passeriformes"
"Black-chinned Sparrow","Spizella atrogularis",1,"Passerellidae","Passeriformes"
"Brewer's Sparrow","Spizella breweri",1,"Passerellidae","Passeriformes"
"Clay-colored Sparrow","Spizella pallida",1,"Passerellidae","Passeriformes"
"Chipping Sparrow","Spizella passerina",1,"Passerellidae","Passeriformes"
"Field Sparrow","Spizella pusilla",1,"Passerellidae","Passeriformes"
"American Tree Sparrow","Spizelloides arborea",1,"Passerellidae","Passeriformes"
"White-throated Sparrow","Zonotrichia albicollis",1,"Passerellidae","Passeriformes"
"Golden-crowned Sparrow","Zonotrichia atricapilla",1,"Passerellidae","Passeriformes"
"White-crowned Sparrow","Zonotrichia leucophrys",1,"Passerellidae","Passeriformes"
"Harris's Sparrow","Zonotrichia querula",1,"Passerellidae","Passeriformes"
"House Sparrow","Passer domesticus",1,"Passeridae","Passeriformes"
"Eurasian Tree Sparrow","Passer montanus",2,"Passeridae","Passeriformes"
"Olive Warbler","Peucedramus taeniatus",2,"Peucedramidae","Passeriformes"
"Arctic Warbler","Phylloscopus borealis",2,"Phylloscopidae","Passeriformes"
"Blue-gray Gnatcatcher","Polioptila caerulea",1,"Polioptilidae","Passeriformes"
"California Gnatcatcher","Polioptila californica",2,"Polioptilidae","Passeriformes"
"Black-tailed Gnatcatcher","Polioptila melanura",1,"Polioptilidae","Passeriformes"
"Black-capped Gnatcatcher","Polioptila nigriceps",3,"Polioptilidae","Passeriformes"
"Phainopepla","Phainopepla nitens",1,"Ptiliogonatidae","Passeriformes"
"Red-vented Bulbul","Pycnonotus cafer",2,"Pycnonotidae","Passeriformes"
"Red-whiskered Bulbul","Pycnonotus jocosus",2,"Pycnonotidae","Passeriformes"
"Ruby-crowned Kinglet","Regulus calendula",1,"Regulidae","Passeriformes"
"Golden-crowned Kinglet","Regulus satrapa",1,"Regulidae","Passeriformes"
"Verdin","Auriparus flaviceps",1,"Remizidae","Passeriformes"
"Japanese Bush Warbler","Horornis diphone",2,"Scotocercidae","Passeriformes"
"Red-breasted Nuthatch","Sitta canadensis",1,"Sittidae","Passeriformes"
"White-breasted Nuthatch","Sitta carolinensis",1,"Sittidae","Passeriformes"
"Brown-headed Nuthatch","Sitta pusilla",1,"Sittidae","Passeriformes"
"Pygmy Nuthatch","Sitta pygmaea",1,"Sittidae","Passeriformes"
"Western Spindalis","Spindalis zena",3,"Spindalidae","Passeriformes"
"Common Myna","Acridotheres tristis",2,"Sturnidae","Passeriformes"
"European Starling","Sturnus vulgaris",1,"Sturnidae","Passeriformes"
"Wrentit","Chamaea fasciata",1,"Sylviidae","Passeriformes"
"Yellow-billed Cardinal","Paroaria capitata",2,"Thraupidae","Passeriformes"
"Red-crested Cardinal","Paroaria coronata",2,"Thraupidae","Passeriformes"
"Saffron Finch","Sicalis flaveola",2,"Thraupidae","Passeriformes"
"Morelet's Seedeater","Sporophila morelleti",3,"Thraupidae","Passeriformes"
"Yellow-faced Grassquit","Tiaris olivaceus",3,"Thraupidae","Passeriformes"
"Rose-throated Becard","Pachyramphus aglaiae",3,"Tityridae","Passeriformes"
"Cactus Wren","Campylorhynchus brunneicapillus",1,"Troglodytidae","Passeriformes"
"Canyon Wren","Catherpes mexicanus",1,"Troglodytidae","Passeriformes"
"Marsh Wren","Cistothorus palustris",1,"Troglodytidae","Passeriformes"
"Sedge Wren","Cistothorus platensis",1,"Troglodytidae","Passeriformes"
"Rock Wren","Salpinctes obsoletus",1,"Troglodytidae","Passeriformes"
"Bewick's Wren","Thryomanes bewickii",1,"Troglodytidae","Passeriformes"
"Carolina Wren","Thryothorus ludovicianus",1,"Troglodytidae","Passeriformes"
"House Wren","Troglodytes aedon",1,"Troglodytidae","Passeriformes"
"Winter Wren","Troglodytes hiemalis",1,"Troglodytidae","Passeriformes"
"Pacific Wren","Troglodytes pacificus",1,"Troglodytidae","Passeriformes"
"Bicknell's Thrush","Catharus bicknelli",2,"Turdidae","Passeriformes"
"Veery","Catharus fuscescens",1,"Turdidae","Passeriformes"
"Hermit Thrush","Catharus guttatus",1,"Turdidae","Passeriformes"
"Gray-cheeked Thrush","Catharus minimus",1,"Turdidae","Passeriformes"
"Swainson's Thrush","Catharus ustulatus",1,"Turdidae","Passeriformes"
"Wood Thrush","Hylocichla mustelina",1,"Turdidae","Passeriformes"
"Varied Thrush","Ixoreus naevius",1,"Turdidae","Passeriformes"
"Omao","Myadestes obscurus",2,"Turdidae","Passeriformes"
"Puaiohi","Myadestes palmeri",3,"Turdidae","Passeriformes"
"Townsend's Solitaire","Myadestes townsendi",1,"Turdidae","Passeriformes"
"Mountain Bluebird","Sialia currucoides",1,"Turdidae","Passeriformes"
"Western Bluebird","Sialia mexicana",1,"Turdidae","Passeriformes"
"Eastern Bluebird","Sialia sialis",1,"Turdidae","Passeriformes"
"Clay-colored Thrush","Turdus grayi",2,"Turdidae","Passeriformes"
"American Robin","Turdus migratorius",1,"Turdidae","Passeriformes"
"Eyebrowed Thrush","Turdus obscurus",3,"Turdidae","Passeriformes"
"Rufous-backed Robin","Turdus rufopalliatus",3,"Turdidae","Passeriformes"
"Northern Beardless-Tyrannulet","Camptostoma imberbe",2,"Tyrannidae","Passeriformes"
"Olive-sided Flycatcher","Contopus cooperi",1,"Tyrannidae","Passeriformes"
"Greater Pewee","Contopus pertinax",2,"Tyrannidae","Passeriformes"
"Western Wood-Pewee","Contopus sordidulus",1,"Tyrannidae","Passeriformes"
"Eastern Wood-Pewee","Contopus virens",1,"Tyrannidae","Passeriformes"
"Alder Flycatcher","Empidonax alnorum",1,"Tyrannidae","Passeriformes"
"Pacific-slope Flycatcher","Empidonax difficilis",1,"Tyrannidae","Passeriformes"
"Yellow-bellied Flycatcher","Empidonax flaviventris",1,"Tyrannidae","Passeriformes"
"Buff-breasted Flycatcher","Empidonax fulvifrons",2,"Tyrannidae","Passeriformes"
"Hammond's Flycatcher","Empidonax hammondii",1,"Tyrannidae","Passeriformes"
"Least Flycatcher","Empidonax minimus",1,"Tyrannidae","Passeriformes"
"Dusky Flycatcher","Empidonax oberholseri",1,"Tyrannidae","Passeriformes"
"Cordilleran Flycatcher","Empidonax occidentalis",1,"Tyrannidae","Passeriformes"
"Willow Flycatcher","Empidonax traillii",1,"Tyrannidae","Passeriformes"
"Acadian Flycatcher","Empidonax virescens",1,"Tyrannidae","Passeriformes"
"Gray Flycatcher","Empidonax wrightii",1,"Tyrannidae","Passeriformes"
"Ash-throated Flycatcher","Myiarchus cinerascens",1,"Tyrannidae","Passeriformes"
"Great Crested Flycatcher","Myiarchus crinitus",1,"Tyrannidae","Passeriformes"
"La Sagra's Flycatcher","Myiarchus sagrae",3,"Tyrannidae","Passeriformes"
"Dusky-capped Flycatcher","Myiarchus tuberculifer",2,"Tyrannidae","Passeriformes"
"Brown-crested Flycatcher","Myiarchus tyrannulus",1,"Tyrannidae","Passeriformes"
"Sulphur-bellied Flycatcher","Myiodynastes luteiventris",2,"Tyrannidae","Passeriformes"
"Great Kiskadee","Pitangus sulphuratus",2,"Tyrannidae","Passeriformes"
"Vermilion Flycatcher","Pyrocephalus rubinus",1,"Tyrannidae","Passeriformes"
"Black Phoebe","Sayornis nigricans",1,"Tyrannidae","Passeriformes"
"Eastern Phoebe","Sayornis phoebe",1,"Tyrannidae","Passeriformes"
"Say's Phoebe","Sayornis saya",1,"Tyrannidae","Passeriformes"
"Couch's Kingbird","Tyrannus couchii",2,"Tyrannidae","Passeriformes"
"Thick-billed Kingbird","Tyrannus crassirostris",2,"Tyrannidae","Passeriformes"
"Gray Kingbird","Tyrannus dominicensis",2,"Tyrannidae","Passeriformes"
"Scissor-tailed Flycatcher","Tyrannus forficatus",1,"Tyrannidae","Passeriformes"
"Tropical Kingbird","Tyrannus melancholicus",2,"Tyrannidae","Passeriformes"
"Fork-tailed Flycatcher","Tyrannus savana",3,"Tyrannidae","Passeriformes"
"Eastern Kingbird","Tyrannus tyrannus",1,"Tyrannidae","Passeriformes"
"Western Kingbird","Tyrannus verticalis",1,"Tyrannidae","Passeriformes"
"Cassin's Kingbird","Tyrannus vociferans",1,"Tyrannidae","Passeriformes"
"Black-whiskered Vireo","Vireo altiloquus",2,"Vireonidae","Passeriformes"
"Black-capped Vireo","Vireo atricapilla",2,"Vireonidae","Passeriformes"
"Bell's Vireo","Vireo bellii",1,"Vireonidae","Passeriformes"
"Cassin's Vireo","Vireo cassinii",1,"Vireonidae","Passeriformes"
"Yellow-throated Vireo","Vireo flavifrons",1,"Vireonidae","Passeriformes"
"Yellow-green Vireo","Vireo flavoviridis",3,"Vireonidae","Passeriformes"
"Warbling Vireo","Vireo gilvus",1,"Vireonidae","Passeriformes"
"White-eyed Vireo","Vireo griseus",1,"Vireonidae","Passeriformes"
"Hutton's Vireo","Vireo huttoni",1,"Vireonidae","Passeriformes"
"Red-eyed Vireo","Vireo olivaceus",1,"Vireonidae","Passeriformes"
"Philadelphia Vireo","Vireo philadelphicus",1,"Vireonidae","Passeriformes"
"Plumbeous Vireo","Vireo plumbeus",1,"Vireonidae","Passeriformes"
"Blue-headed Vireo","Vireo solitarius",1,"Vireonidae","Passeriformes"
"Gray Vireo","Vireo vicinior",2,"Vireonidae","Passeriformes"
"Warbling White-eye","Zosterops japonicus",2,"Zosteropidae","Passeriformes"
"Great Egret","Ardea alba",1,"Ardeidae","Pelecaniformes"
"Great Blue Heron","Ardea herodias",1,"Ardeidae","Pelecaniformes"
"American Bittern","Botaurus lentiginosus",1,"Ardeidae","Pelecaniformes"
"Cattle Egret","Bubulcus ibis",1,"Ardeidae","Pelecaniformes"
"Green Heron","Butorides virescens",1,"Ardeidae","Pelecaniformes"
"Little Blue Heron","Egretta caerulea",1,"Ardeidae","Pelecaniformes"
"Reddish Egret","Egretta rufescens",1,"Ardeidae","Pelecaniformes"
"Snowy Egret","Egretta thula",1,"Ardeidae","Pelecaniformes"
"Tricolored Heron","Egretta tricolor",1,"Ardeidae","Pelecaniformes"
"Least Bittern","Ixobrychus exilis",1,"Ardeidae","Pelecaniformes"
"Yellow-crowned Night-Heron","Nyctanassa violacea",1,"Ardeidae","Pelecaniformes"
"Black-crowned Night-Heron","Nycticorax nycticorax",1,"Ardeidae","Pelecaniformes"
"American White Pelican","Pelecanus erythrorhynchos",1,"Pelecanidae","Pelecaniformes"
"Brown Pelican","Pelecanus occidentalis",1,"Pelecanidae","Pelecaniformes"
"White Ibis","Eudocimus albus",1,"Threskiornithidae","Pelecaniformes"
"Roseate Spoonbill","Platalea ajaja",1,"Threskiornithidae","Pelecaniformes"
"White-faced Ibis","Plegadis chihi",1,"Threskiornithidae","Pelecaniformes"
"Glossy Ibis","Plegadis falcinellus",1,"Threskiornithidae","Pelecaniformes"
"Red-billed Tropicbird","Phaethon aethereus",3,"Phaethontidae","Phaethontiformes"
"White-tailed Tropicbird","Phaethon lepturus",2,"Phaethontidae","Phaethontiformes"
"Red-tailed Tropicbird","Phaethon rubricauda",3,"Phaethontidae","Phaethontiformes"
"American Flamingo","Phoenicopterus ruber",3,"Phoenicopteridae","Phoenicopteriformes"
"Northern Flicker","Colaptes auratus",1,"Picidae","Piciformes"
"Gilded Flicker","Colaptes chrysoides",2,"Picidae","Piciformes"
"White-headed Woodpecker","Dryobates albolarvatus",1,"Picidae","Piciformes"
