Keyname	Author	Date	Title	Journal	Vol:Pages	Class	Order	Family	Genus	species	Common Name	Region	Habitat	Observation	Food	Benthic Inverts	Comments	Occurrence
Grinnell, Bryant, and Storer, 1918	*Grinnell, Bryant, and Storer,	1918				Aves	Limicolae	Charadriidae	_Squatarola_	_squatarola_ 	black-bellied plover	CA			Arthropoda, Crustacea, decapoda, crabs, Mollusca, Gastropoda, snails, bibalvia, small bivalves		breeding and winter range	
Bent, 1929	Bent, A. C.	1929	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 146: pp 27-36.			Aves	Limicolae	Charadriidae	_Squatarola_	_squatarola_ 	black-bellied plover		lake-shores, open flats, meadows, pastures		Arthropoda, insecta, Orthoptera, grasshoppers and locusts, Lepidoptera, cutworms, Coleoptera, beetles and grubs, Annelida, Oligochaeta, earthworms, vegetation,seeds and berries	In:  Dover Publications 1962 reprinting of USNM Bulletin 146	winter range, migration	
Jourdain, 1929	Jourdain, F. C. R.	1929	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 146: pp 172-175			Aves	Limicolae	Charadriidae	_Pluvialis_	_apricaria_ _altifrons_	European golden plover	Europe			Arthropoda, Insecta, Coleoptera, beetles, _Notiophilus_, _Agriotes_, _Sitones_, _Curculio_, Diptera, Hymenoptera, _Formica_, _Forficula_, Crustacea, Isopoda, Chelicerata, Arachnida, Aranaea, spiders, Mollusca, terrestrial snails and slugs, _Vitrina_, _Littorina_, _Rissoa_, _Lacuna_, _Mytilus_ _edulis_, Annelida, Oligochaeta, earthworms, vegetation, seeds and berries,	  in:  Dover Publications 1962 reprinting of USNM Bulletin 146	casual in Greenland, from Europe	
Bent, 1929	Bent, A. C.	1929	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 146: pp 27-36.			Aves	Limicolae	Charadriidae	_Pluvialis_	_dominica_ _dominica_ 	American golden plover		pastures, prairie, sandflats, mudflats		Arthropoda, insecta, Orthoptera, grasshoppers and crickets, Lepidoptera, cutworms, Coleoptera, beetles and grubs, wireworms, Chelicerata, Arachnida, Aranaea, spiders, Crustacea, Mollusca, vegetation, berries	In:  Dover Publications 1962 reprinting of USNM Bulletin 146	migration	
McAtee, 1912	*McAtee, W. L.	1912				Aves	Limicolae	Charadriidae	_Oxyechus_	_vociferus_ 	killdeer			stomach contents	Arthropoda, Insecta, Coleoptera, beetles including weevils (37.06%),Orthoptera, Lepidoptera, Diptera, Hemiptera, Tricoptera, Odonata, Hymenoptera, Myriapoda, Chelopoda, centipedes, Chelicerata, Arachnida, Acari, ticks, Aranaea, spiders, Crustacea, Decapoda, crayfish, crabs, Mollusca, Gastropoda, snails, Annelida, Oligochaeta, earthworms, Polychaeta, oysterworms, vegetation, seeds		breeding and winter range	
Howell, 1906	*Howell, A. H.	1906				Aves	Limicolae	Charadriidae	_Oxyechus_	_vociferus_ 	killdeer			stomach contents	Arthropoda, Insecta, Coleoptera, cotton boll weevil		breeding and winter range	
Bryant, 1914a	*Bryant, H. C.	1914				Aves	Limicolae	Charadriidae	_Oxyechus_	_vociferus_ 	killdeer	CA		stomach contents	Arthropoda, Insecta, Orthoptera, grasshoppers	1 bird	breeding and winter range	
Aughey, 1878	*Aughey, S.	1878				Aves	Limicolae	Charadriidae	_Oxyechus_	_vociferus_ 	killdeer	Nebraska		stomach contents	Arthropoda, Insecta, insects, Orthoptera, locusts	9 birds	breeding and winter range	
Kalmbach,1914	*Kalmbach, E. R.	1914				Aves	Limicolae	Charadriidae	_Oxyechus_	_vociferus_ 	killdeer	western U.S.	alfalpha field	stomach contents	Arthropoda, Insecta, Coleoptera, weevils, wireworms, May beetles, Lepidoptera, caterpillars, Orthoptera, grasshoppers and crickets, Diptera, craneflies, mosquitos, Chelicerata, Arachnida, Acari, cattle tick		breeding and winter range	
Nash, 1909	*Nash, C. W.	1909	in bent			Aves	Limicolae	Charadriidae	_Oxyechus_	_vociferus_ 	killdeer		orchard	stomach contents	Arthropoda, Insecta, Coleoptera, weevils, 		breeding and winter range	
McAtee, 1911	*McAtee, W. L.	1911				Aves	Limicolae	Charadriidae	_Charadrius_	_semipalmatus_ 	semipalmated plover			stomach contents	Arthropoda, Diptera, larvae of the saltmarsh mosquito, _Aedes_ _sollicitans_		winter range	
Aughey, 1878	*Aughey, S.	1878				Aves	Limicolae	Charadriidae	_Charadrius_	_semipalmatus_ 	semipalmated plover	NE		stomach contents	Arthropoda, Insecta, insects, Orthoptera, locusts	11 birds	winter range	
Townsend, 1929	Townsend, C. W.	1929	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 146: pp 217-229.			Aves	Limicolae	Charadriidae	_Charadrius_	_semipalmatus_	semipalmated plover			gut contents	Arthropoda, Crustacea, Amphipoda, _Orchestia_, _Gammarus_, _Limnoria_, Insecta, insects, Mollusca, Gastropoda, _Litorina_, Bivalvia, _Mytelis_ _edilis_	  in:  Dover Publications 1962 reprinting of USNM Bulletin 146	winter range	
Henderson, 1927	*Henderson, J.	1927				Aves	Limicolae	Charadriidae	_Charadrius_	_semipalmatus_ 	semipalmated plover	coast			Arthropoda, Crustacea, Mollusca, eggs of marine animals, Insecta, insects, Orthoptera, locusts		winter range	
Jourdain, 1929	Jourdain, F. C. R.	1929	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 146: pp 229-233.			Aves	Limicolae	Charadriidae	_Charadrius_	_hiaticula_	ringed plover	Greenland			Arthropoda, Insecta, Coleoptera, beetles, _Apion_, _Aphodius_, _Haliplus_, _Hydroporus_, Crustacea, Amphipoda, Gamaridae, Mollusca, _Littorina_ etc., Annelida, Oligochaeta, earthworms, vegetation, seeds 	  in:  Dover Publications 1962 reprinting of USNM Bulletin 146	 in Greenland, from Europe	
Jourdain, 1929	Jourdain, F. C. R.	1929	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 146: pp 233-236.			Aves	Limicolae	Charadriidae	_Charadrius_	_dubius_ _curonicus_	little ringed plover				Arthropoda, Insecta, Coleoptera, small beetles, Diptera, Neuroptera, Annelida, 	  in:  Dover Publications 1962 reprinting of USNM Bulletin 146	 in Greenland, from Europe	
Forbush, 1925	*Forbush, E. H.	1925				Aves	Limicolae	Charadriidae	_Charadrius_	_melodus_ 	piping plover				Arthropoda, Insecta, insects, Crustacea, Mollusca, small marine animals and their eggs		casual breeding (NC), winter range	
Howell, 1924	*Howell, A. H.	1924				Aves	Limicolae	Charadriidae	_Charadrius_	_melodus_ 	piping plover	AL		stomach contents	Arthropoda, Insecta, Coleoptera, beetles, Diptera, fly larvae, Annelida, Polychaeta, marine worms	4 birds	casual breeding (NC), winter range	
Howell, 1924	*Howell, A. H.	1924				Aves	Limicolae	Charadriidae	_Pagolla_	_wilsonia_ _wilsonia_ 	Wilson plover	AL		stomach contents	Arthropoda, Insecta, Diptera, Crustacea, Decapoda, shrimp and crabs, Molluska	5 birds	breeding and winter range	
Danforth, 1926	*Danforth, S. T.	1926	reference not given by bent			Aves	Limicolae	Charadriidae	_Pagolla_	_wilsonia_ _wilsonia_ 	Wilson plover	Puerto Rico		stomach contents	Arthropoda, Insecta, Coleoptera, Dytiscid larvae and adults	1 bird	breeding and winter range	
Audubon, 1840	*Audubon, J.J.	1840				Aves	Limicolae	Charadriidae	_Pagolla_	_wilsonia_ _wilsonia_ 	Wilson plover				Arthropoda, Insecta, small marine insects, Mollusca and Crustacea, minute shellfish, Annelida, sand worms		breeding and winter range	
Bent, 1929	Bent, A. C.	1929	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 146: pp 27-36.			Aves	Limicolae	Aphrizidae	_Arenaria_	_interpres_ 	turnstone		beaches and shores		Arthropoda, insecta, insects, Crustacea, Amphipoda, sand fleas, Decapoda, _Uca_, Cirrepedia, barnacles, Mollusca, Annelida,	In:  Dover Publications 1962 reprinting of USNM Bulletin 146	migration	
Bent, 1929	Bent, A. C.	1929	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 146: pp 27-36.			Aves	Limicolae	Aphrizidae	_Arenaria_	_melanocephala_ 	black turnstone		beaches and shores		Arthropoda, Crustacea, Cirrepedia, barnacles, Mollusca, Annelida,	In:  Dover Publications 1962 reprinting of USNM Bulletin 146	mone- Pacific coast	
Jourdain, 1929	Jourdain, F. C. R.	1929	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 146: pp 305-309.			Aves	Limicolae	Haematopodidae	_Haematopus_	_ostralegus_	European oyster catcher				Arthropoda, Insecta, Coleoptera, Diptera esp Tipulidae, Lepidoptera, larvae and pupae of Noctuidae, Annelida, Oligochaeta, earthworms, Polychaeta, sandworms, Mollusca, Gastropoda, limpets _Patella_, welks _Buccinium_, periwinkles _Litorina_, Bivalvia, mussels _Mytilus_ _edulis_, cockles _Cardium_, etc., Crustacea, Decapoda, shrimp etc., Echinodermata, Holothuroidea, vegetation, grass seeds and grains. 	  in:  Dover Publications 1962 reprinting of USNM Bulletin 146	Europe	
Audubon, 1840	*Audubon, J. J.	1840				Aves	Limicolae	Haematopodidae	_Haematopus_	_palliatus_ _palliatus_	American oyster catcher			visual behavior	Arthropoda, Insecta, insects, Annelida, Polychaeta, sandworms, Mollusca, Gastropoda, limpets Bivalvia, _Crassostrea_	_virg		
Maynard, 1896	*Maynard, C. J.	1896				Aves	Limicolae	Haematopodidae	_Haematopus_	_palliatus_ _palliatus_	American oyster catcher			gut contents, visual behavior	Mollusca, Bivalvia, _Crassostrea_ _virginica_,	1 bird shot	breeding and winter range	
Chapman, 1904	*Chapman,	1904				Aves	Odontoglossae	Phoenicopteridae	_Phoenicopterus_	_ruber_ 	American flamingo			gut contents	Mollusca, Gastropoda, _Cerithium_		rare	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp			Aves	Herodiones	Plataleidae	_Ajaia_	_Ajaia_ 	Roseate spoonbill				Arthropoda, Insecta, Coleoptera, Crustacea, Decapoda, shrimp	In:  Dover Publications 1962 reprinting of USNM Bulletin 146	breeding and winter range	
Dawson, 1909	*Dawson,	1909				Aves	Limicolae	Haematopodidae	_Haematopus_	_bachmani_ 	Black oyster catcher			visual behavior	Arthropoda, Insecta, insects, Crustacea, Cirrepedia, barnacles, crustaceans,Annelida, Polychaeta, sandworms, Mollusca, Gastropoda, limpets Bivalvia, mussels		pacific coast	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp			Aves	Herodiones								Arthropoda, Insecta, Coleoptera, Crust	cea, 		
Audubon, 1840	*Audubon, J. J.	1840				Aves	Herodiones	Threskionithidae	_Guara_	_alba_	white ibis			visual behavior	Arthropoda, Insecta, insects, Crustacea, Decapoda, crabs and crayfish, Mollusca, Gastropoda, slugs and snails		breeding and winter range	
Baynard, 1913	*Baynard, O. E.	1913				Aves	Herodiones	Threskionithidae	_Guara_	_alba_	white ibis			gut contents	Arthropoda, Insecta, Lepidoptera, cutworms, Orthoptera, grasshoppers, Crustacea, Decapoda, crayfish, Reptilia, water moccasins	50 birds	breeding and winter range	
Wayne, 1922	*Wayne,	1922				Aves	Herodiones	Threskionithidae	_Guara_	_alba_	white ibis			gut contents	Arthropoda, Crustacea, Decapoda, _Uca_, crayfish, 	young birds	breeding and winter range	
Penard and Penard 1908	*Penard, F. P., and A. P. Penard	1908				Aves	Herodiones	Threskionithidae	_Guara_	_rubra_	scarlet ibis		beaches, shallows and mudflats		Arthropoda, Insecta, insects, Pisces, spawn	South America	casual	
Leotaud, 1866	*Leotaud	1866				Aves	Herodiones	Threskionithidae	_Guara_	_rubra_	scarlet ibis		beaches, shallows and mudflats		Arthropoda, Insecta, Mollusca	South America	casual	
Dawson, 1917	*Dawson, C. B.	1917				Aves	Herodiones	Threskionithidae	_Guara_	_rubra_	scarlet ibis		beaches, shallows and mudflats		Arthopoda, Crustacea, Mollusca	South America	casual	
Beebe, 1910	*Beebe	1910	in Bent  no reference			Aves	Herodiones	Threskionithidae	_Guara_	_rubra_	scarlet ibis		beaches, shallows and mudflats	gut contents	Arthopoda, Crustacea,	South America	casual	
Baynard, 1913	*Baynard	1913				Aves	Herodiones	Threskionithidae	_Plegades_	_falcinellus_	glossy ibis			gut contents? (summary of 194 meals of young birds)	Arthopoda, Insecta, Orthoptera, grasshoppers, Lepidoptera, cutworms, Crustacea, crayfish, Reptilia, water moccasins		rare in Florida, casual elseware	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp			Aves	Herodiones	Threskionithidae	_Plegades_	_guarauna_	white-faced glossy ibis, black curlew	TX	coastal plains, river banks, ponds, marshes	gut contents	Arthopoda, Insecta, Crustacea, crayfish, Annelida, Oligochaeta, earthworms, Hirudinea, leaches, Mollusca, Amphibia, Pisces		rare in Florida, casual elseware	
Grinnell, Bryant, and Storer, 1918	*Grinnell, Bryant, and Storer,	1918				Aves	Herodiones	Ciconiidae	_Mycteria_	_americana_ 	wood ibis	CA		gut contents	Arthropoda, Insecta, Coleoptera, water beetles, Hemiptera, paddle bugs, Odonata, dragonfly larvae, Orthoptera, water cricket, Pisces, Amphibia		breeding and winter range	
Bryant, 1919	*Bryant, H. C.	1919				Aves	Herodiones	Ciconiidae	_Mycteria_	_americana_ 	wood ibis	CA		gut contents	Arthropoda, Insecta, Coleoptera, water beetles, vegetation, seeds		breeding and winter range	
Audubon, 1840	*Audubon, J. J.	1840				Aves	Herodiones	Ciconiidae	_Mycteria_	_americana_ 	wood ibis				Arthropoda, Crustacea, Decapoda, _Uca_, crabs, Pisces, Amphibia, Reptilia, Aves, Mammalia, 		breeding and winter range	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 72-84			Aves	Herodiones	Ardeidae	_Botaurus_	_lentiginosus_	American Bittern				Arthopoda, Insecta, Odonata, Orthoptera, insects, Crustacea, Decapoda, crayfish, Mollusca, Mamalia, Reptilia, Amphibia, Pisces		breeding and winter range	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 84-93			Aves	Herodiones	Ardeidae	_Ixobrychus_	_exilis_ _exilis_	Least Bittern				Arthopoda, Insecta, Coleoptera, beetles, insects, Mollusca, Gastropoda, snails, slugs, Annelida, Hirudinea, leaches, Reptilia, Amphibia, Pisces		breeding range, (winter range FL)	
Audubon, 1840	*Audubon, J. J.	1840				Aves	Herodiones	Ardeidae	_Ixobrychus_	_exilis_ _exilis_ 	Least Bittern				Arthropoda, Insecta, Lepidoptera, caterpillars, Diptera, flies		breeding range, (winter FL)	
Audubon, 1840	*Audubon, J. J.	1840				Aves	Herodiones	Ardeidae	_Ardea_	_Herodias_ _Herodias_ 	Great Blue Heron				Arthropoda, Insecta, Odonata, Lepidoptera, moths and butterflies, aquatic insects		breeding and winter range,	
Wilson, 1832	*Wilson,	1832				Aves	Herodiones	Ardeidae	_Ardea_	_Herodias_ _Herodias_ 	Great Blue Heron				Arthropoda, Insecta, Odonata, dragonflies, Orthoptera, grasshoppers		breeding and winter range,	
Howell, 1911	*Howell, A. H.	1911				Aves	Herodiones	Ardeidae	_Ardea_	_Herodias_ _Herodias_ 	Great Blue Heron				Arthropoda, Insecta, Odonata, dragonflies, Orthoptera, grasshoppers		breeding and winter range,	
Townsend, 1929	Townsend, C. W.	1926	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 131-133.			Aves	Herodiones	Ardeidae	_Ardea_	_cinerea_ _cinerea_	European Heron				Arthropoda, Insecta, aquatic insects	  in:  Dover Publications 1962 reprinting of USNM Bulletin 146	wasual in Greenland	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 133-146			Aves	Herodiones	Ardeidae	_Casmerodius_	_egretta_ 	American Egret		marshes, rice fields, marshy lake and pond shores		Arthopoda, Insecta, Orthoptera, grasshoppers, insects, Crustacea, Decapoda, _Uca_, Mollusca, Gastropoda, snails, Mammalia, Reptilia, Amphibia, Pisces		breeding range, (winter range FL)	
Baynard, 1912	*Baynard, O. E.	1912				Aves	Herodiones	Ardeidae	_Casmerodius_	_egretta_	American egrett			gut contents (disgorged meals of 50 young)	Arthopoda, Crustacea, Decapoda, crayfish, Reptilia, Amphibia, Pisces		breeding and winter range	
Wetmore, 1916	*Wetmore, A.	1916				Aves	Herodiones	Ardeidae	_Casmerodius_	_egretta_	American egret	Puerto Rico		gut contents 1 bird	Arthopoda, Insecta, Orthoptera (15%), grasshoppers, mole cricket (_Scapteriscus_ _didactylus_), Odonata, dragon flies, Lepidoptera, moth, Crustacea, Decapoda, crayfish, Reptilia, Amphibia, Pisces		breeding and winter range	
Wetmore, 1916	*Wetmore, A.	1916				Aves	Herodiones	Ardeidae	_Egretta_	_candidissima_ _candidissima_	Snowy Egret	Puerto Rico	Mangrove swamps	gut contents 2 birds	Arthopoda, Insecta, Orthoptera, grasshopper, Odonata, dragon fly nymphs, Diptera, Lepidoptera, Crustacea, Decapoda, _Uca_, Reptilia, Amphibia, Pisces		breeding and winter range	
Baynard, 1912	*Baynard, O. E.	1912				Aves	Herodiones	Ardeidae	_Egretta_	_candidissima_ _candidissima_	Snowy Egrett			gut contents (disgorged meals of 50 young)	Arthopoda, Insecta, Orthoptera, grasshoppers, Lepidoptera, cutworms, Crustacea, Decapoda, crayfish, Reptilia, Amphibia, Pisces		breeding and winter range	
Audubon, 1840	*Audubon, J. J.	1840				Aves	Herodiones	Ardeidae	_Egretta_	_candidissima_ _candidissima_	Snowy Egrett	Carolinas	salt marshes	gut contents 	Arthopoda, Insecta, aquatic insects, Crustacea, Decapoda, shrimps, crabs _Uca_, Mollusca, Gastopoda, snails, Reptilia, Amphibia, Pisces		breeding and winter range	
Cahn, 1923	*Cahn, 	1923				Aves	Herodiones	Ardeidae	_Dichromanassa_	_rufescens_	Reddish Egret		coastal marshes	 	Arthopoda, Crustacea, Amphibia, Pisces		breeding and winter range	
Audubon, 1840	*Audubon, J. J.	1840				Aves	Herodiones	Ardeidae	_Hydranassa_	_tricolor_ _ruficollis_	Louisianna Heron, Tricolor Heron				Arthopoda, Insecta, aquatic insects, Diptera, Mollusca, Gastopoda, snails and slugs, Annelida, worms, Hirudinea, leeches, Reptilia, Amphibia, Pisces		breeding and winter range	
Baynard, 1912	*Baynard, O. E. 	1912				Aves	Herodiones	Ardeidae	_Hydranassa_	_tricolor_ _ruficollis_	Louisianna Heron, Tricolor Heron			gut contents (50 meals of young plus one adult)	Arthopoda, Insecta, Orthoptera, grasshoppers, Lepidoptera, cutworms, Crustacea, Decapoda, crayfish, Reptilia, Amphibia, Pisces		breeding and winter range	
Baynard, 1912	*Baynard, O. E. 	1912				Aves	Herodiones	Ardeidae	_Florida_	_caerulea_	Little Blue Heron,			gut contents (50 meals of young plus one adult)	Arthopoda, Insecta, Orthoptera, grasshoppers, Lepidoptera, cutworms, Crustacea, Decapoda, crayfish, Reptilia, Amphibia,		breeding and winter range	
Wetmore, 1916	*Wetmore, A.	1916				Aves	Herodiones	Ardeidae	_Florida_	_caerulea_	Little Blue Heron,	Pueto Rico		gut contents (50 meals of young plus one adult)	Arthopoda, Insecta, Orthoptera, mole crickets, locusts and grasshoppers, insects, Crustacea, Decapoda, crabs and shrimp, Reptilia, 		breeding and winter range	
Howell, 1911	*Howell, A. H.	1911				Aves	Herodiones	Ardeidae	_Florida_	_caerulea_	Little Blue Heron,	Arkansas		gut contents 	Arthopoda, Insecta, Coleoptera, beetles and grubs, Crustacea, Decapoda, crabs and crawfish, Reptilia, Amphibia, pisces 		breeding and winter range	
Townsend, 1929	Townsend, C. W.	1926	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 185-194			Aves	Herodiones	Ardeidae	_Butorides_	_virescens_ _virescens_	Green Heron		Salt Marshes		Arthropoda, Insecta, aquatic insects, Orthoptera, grasshoppers and crickets, Crustacea, Decapoda, crayfish, Annelida, Oligochaeta, earthworms, Mammalia, Reptilia, Amphibia, Pisces	  in:  Dover Publications 1962 reprinting of USNM Bulletin 135	Breeding and winter range	
Baynard, 1912	*Baynard, O. E. 	1912				Aves	Herodiones	Ardeidae	_Butorides_	_virescens_ _virescens_	Green Heron,	FL		gut contents 	Arthopoda, Insecta, Orthoptera, grasshoppers, Lepidoptera, cutworms, Crustacea, Decapoda, crayfish, Amphibia,		breeding and winter range	
Bowdish, 1902	*Bowdish, B. S.	1902				Aves	Herodiones	Ardeidae	_Butorides_	_virescens_ _virescens_	Green Heron,	Puerto Rico		gut contents 	Arthopoda, Insecta, Coleoptera, Orthoptera, grasshoppers, Lepidoptera, cutworms, Crustacea, Decapoda, crabs and crayfish, Amphibia, Pisces		breeding and winter range	
Gross, 1923	*Gross,	1923				Aves	Herodiones	Ardeidae	_Nycticorax_	_nycticorax_ _naevius_	Black Crowned Night Heron				Arthopoda, Insecta, Coleoptera, beetles, Odonata, dragonfly nymphs, Diptera, flies, Crustacea, Decapoda, crabs and shrimp, Amphipoda, sandhoppers, Molluska, Cephalopoda, squid, Annelida, Polychaeta, _Nereis_ _virens_, Amphibia, Pisces		breeding and winter range	
Baynard, 1912	*Baynard, O. E.	1912				Aves	Herodiones	Ardeidae	_Nycticorax_	_nycticorax_ _naevius_	Black Crowned Night Heron	FL		Gut contents (50 meals of young)	Arthopoda, Insecta, Odonata, dragonflies, Crustacea, Decapoda, crayfish, Pisces		breeding and winter range	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 213-219			Aves	Herodiones	Ardeidae	_Nyctanassa_	_violaccea_ 	Yellow Crowned Night Heron				Arthopoda, Crustacea, Decapoda, crabs and crayfish, Pisces		breeding and winter range	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 197-213			Aves	Herodiones	Ardeidae	_Nycticorax_	_nycticorax_ _naevius_ 	Black Crowned Night Heron			reports from other people	Arthopoda,Insecta, Lepidoptera, moths, Crustacea, Decapoda, crabs, Annelida, Hirudinea, leeches, Mammalia, Reptilia, Amphibia, Pisces		breeding and winter range	
Audubon, 1840	*Audubon, J. J.	1840				Aves	Herodiones	Ardeidae	_Nyctanassa_	_violacea_	Yellow Crowned Night Heron				Arthopoda, Crustacea, Decapoda, crabs and crayfish, Mollusca, Gastropoda, snails, Annelida, Hirudinea, Leeches, Mammalia, Reptilia, Aves, Amphibia, Pisces		breeding and winter range	
Maynard, 1896	*Maynard	1896				Aves	Herodiones	Ardeidae	_Nyctanassa_	_violacea_	Yellow Crowned Night Heron, Galden				Arthopoda, Crustacea, Decapoda, _Cardiosoma_ _Ucides_ and _Gecarcinus_		breeding and winter range	
Bowdish, 1902	*Bowdish	1902				Aves	Herodiones	Ardeidae	_Nyctanassa_	_violacea_	Yellow Crowned Night Heron, Galden	Puerto Rico			Arthopoda, Crustacea, Decapoda, _Uca_ and crayfish, Pisces		breeding and winter range	
Wayne, 1906	*Wayne,	1906				Aves	Herodiones	Ardeidae	_Nyctanassa_	_violacea_	Yellow Crowned Night Heron, Galden				Arthopoda, Crustacea, Decapoda, _Uca_ and crayfish, Pisces		breeding and winter range	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 219-231			Aves	Paludicolae	Megalornithidae	_Megolornis_	_Americanus_ 	Whooping Crane			reports from other people	Arthopoda,Insecta, Orthoptera, grasshoppers, Annelida, Oligochaeta, worms, Mollusca, Gastropoda, snails and slugs, Mammalia, Reptilia, Amphibia, Pisces, vegetation, 		winter range, LA, TX	
Grinnell, 1900	Grinnell,	1900				Aves	Paludicolae	Megalornithidae	_Megolornis_	_Canadiensis_ 	Little Brown Crane				Arthopoda,Insecta, insects, Mammalia, vegetation 		winter range southern TX, casual	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 241-253			Aves	Paludicolae	Megalornithidae	_Megolornis_	_Mexinanus_ 	Sandhill Crane			reports from other people	Arthopoda, Insecta, Coleoptera, Orthoptera, grasshoppers and crickets, insects, Annelida, Oligochaeta, worms, Mammalia, Reptilia, Amphibia, vegetation, 		historical nesting, winter range, 	
Bent, 1926	Bent, A. C.	1926	Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 254-260			Aves	Paludicolae	Aramidae	_Aramus_	_vociferus_ _vociferus_ 	Limpkin	FL, GA	swamps (Okefinokee)		Arthopoda, Insecta, aquatic insects, Crustacea, Mollusca, Annelida, Oligochaeta, worms, Reptilia, Amphibia,  			
Audubon, 1840	Audubon, J. J.	1840				Aves	Paludicolae	Aramidae	_Aramus_	_vociferus_ _vociferus_ 	Limpkin	FL, GA	swamps (Okefinokee)		Mollusca, Gastropoda, large green snail  			
Audubon, 1840	Audubon, J. J.	1840				Aves	Paludicolae	Rallidae	_Rallus_	_elegans_ 	King Rail				Arthropoda, Crustacea, _Uca_, Mollusca, Pisces		breeding and winter range	
Dawson, 1903	Dawson, W. L.	1903				Aves	Paludicolae	Rallidae	_Rallus_	_elegans_ 	King Rail				Arthropoda, Insecta, insects, Crustacea, Decapoda, crayfish, Mollusca, Gastopoda, slugs, Annelida, Hirudinea, Leeches, Amphibia, vegetation		breeding and winter range	
Grinnell, et al., 1918	Grinnell, Bryant, and Storer	1918				Aves	Paludicolae	Rallidae	_Rallus_	_obsoletus_ 	California Clapper Rail	CA	salt marsh	gut contents	Arthropoda, Crustacea, Decapoda, crabs, _Hemigrapsus_ _oregonensis_, Annelida,		none	
Cohen, 1895	Cohen, D. A.	1895				Aves	Paludicolae	Rallidae	_Rallus_	_obsoletus_ 	California Clapper Rail	CA	salt marsh	gut contents	Arthropoda, Crustacea, Decapoda, crabs,		none	
Simmons, 1914	Simmons,	1914				Aves	Paludicolae	Rallidae	_Rallus_	_longirostris_ _saturatus_	Louisiana Clapper Rail	Gulf Coast	salt marshes		Arthropoda, Insecta, aquatic insects, Orthoptera, Grasshoppers, Crustacea, crabs, Mollusca, Gastropoda, snails and slugs, vegetation, seeds		breeding and winter range along East Coast	
Audubon, 1840	Audubon, J. J.	1840				Aves	Paludicolae	Rallidae	_Rallus_	_longirostris_ _crepitans_	Clapper Rail	East coast, NC and north	salt marshes		Arthropoda, Insecta, aquatic insects, Crustacea, crabs, Mollusca, Gastropoda, snails, Pisces, vegetation		NC	
Townsend, 1929	Townsend, C. W.	1926	In: Bent, A. C., Life histories of North American shore birds. Smithsonian Institution, United States National Museum Bulletin 135: pp 293-301			Aves	Paludicolae	Rallidae	_Rallus_	_virginianus_	Virginia Rail				Arthropoda, Insecta, Coleoptera, Beetles and grubs, Lepidoptera, caterpillars, Insects and larvae, Mollusca, Gastopoda, snails and slugs, Oligochaeta, earthworms, Pisces	  in:  Dover Publications 1962 reprinting of USNM Bulletin 135	Breeding and winter range	
Kahn, 1915	*Kahn, A. R.	1915				Aves	Paludicolae	Rallidae	_Rallus_	_virginianus_	Virginia Rail	Wisconsin	cage	feeding experiments	Arthropoda, Crustacea, Decapoda, crayfish, Amphipoda, Insecta, Lepidoptera, caterpillars, Reptilia, Pisces		Breeding and winter range	
Gibbs, 1899	*Gibbs,	1899				Aves	Paludicolae	Rallidae	_Porzana_	_carolina_	Sora Rail, Carolina Rail				Arthropoda, Insecta, Odonata, Mollusca, Amphibia		winter range	
