Common_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet_By_Wt_or_Vol	Fraction_Diet_By_Items	Fraction_Occurrence	Fraction_Diet_Unspecified	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Source
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scarabeidae							0.04						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Scolytidae							0.016						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera		Unidentified							0.0656						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Calliphorida							0.0096						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Empididae							0.0032						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Muscidae							0.0128						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Rhagionida							0.0192						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Sarcophagidae							0.0032						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Syrphidae							0.0096						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Tabanidae							0.0192						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Therevidae							0.0032						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera		Unidentified							0.24						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hemiptera		Corizidae							0.0032						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hemiptera		Nabidae							0.0064						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hemiptera		Unidentified							0.006						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Homoptera		Cercopidae							0.008						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Homoptera		Nabidae							0.006						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
Western Wood-Pewee	Contopus sordidulus	 Tyrannidae		R.69W	T.23S		2900 m		Southern Colorado	Wet Mountains of southern Colorado in the San Isabel National Forest	coniferous forests		1965		1966	Summer	Animalia	Arthropoda	Insecta	Homoptera		Unidentified							0.006						stomach contents		Beaver and Baldwin 1975. Ecological overlap and the problem of competition and sympatry in the Western and Hammond's Flycatchers. Condor 77: 1-13.
