x	
"Mclean, P. K. and M. A. Byrd. 1991a. Diet of Chesapeake Bay Ospreys and their impact on the local fishery. J. Raptor Res. 25:109-112."	
"Mcmartin, B. 1996. Impact of insecticide applications on the foraging behaviour and diet of three boreal forest species. Master's Thesis. Univ. of Toronto,"	
"McMartin, B., I. Bellocq, and S. M. Smith. \Patterns of Consumption and Diet Differentiation for Three Breeding Warbler Species during a Spruce Budworm Outbreak.\\ The Auk 119.1 (2002): 216-20. Web\\\\\"	
"McMartin, B., I. Bellocq, and S. M. Smith. Patterns of Consumption and Diet Differentiation for Three Breeding Warbler Species during a Spruce Budworm Outbreak. The Auk 119.1 (2002): 216-20. Web"	
"Mcnicol, D. K., R. J. Robertson, and P. J. Weatherhead. 1982. Seasonal, habitat, and sex-specific food habits of Red-winged Blackbirds: implications for agriculture. Can. J. Zool. 60:3282-3289."	
"Meanley, B. and J. A. Neff. 1953. Food habits of the Bobolink in Arkansas rice fields. Auk 70:211-212."	
"Meents, J. K., B. W. Anderson, and R. D. Ohmart. 1982. Vegetation relationships and food of Sage Sparrows wintering in honey mesquite habitat. Wilson Bull."	
"Mersmann, T. J. 1989. Foraging ecology of Bald Eagles on the northern Chesapeake Bay with an examination of techniques used in the study of Bald Eagle food habits. Master's Thesis. Virginia Polytechnic Inst. and State Univ. Blacksburg."	
"Meyer, K. D. and M. W. Collopy. 1990. Status, distribution, and habitat requirements of the American Swallow-tailed Kite (Elanoides forficatus forficatus) in Florida. Final report. Florida Game and Fresh Water Fish Comm. Tallahassee, FL."	
"Mikkola, H. and S. Sulkava. 1970. Food of great grey owls in Fenna-Scandia. British Birds 62:23-27."	
"Mills, G. S. 1979. Foraging patterns of kestrels and shrikes and thier relation to an optimal foraging. Ph.D. diss. Univ. of Arizona, Tucson."	
"Millsap, B. A. 1981. Distributional status of Falconiformes in westcentral Arizona with notes on ecology, reproductive success, and management. U.S. Bureau Land Manage. Tech. Note 355."	
"Millsap, B. A. 1981. Distributional status of falconiformes in westcentral Arizona-with notes on ecology, reproductive success and management. Tech. Note No. 355. U.S. Dept. Interior, Bureau Land Management, Denver, CO."	
"Mollhagen, T. R., R. W. Wiley, and R. L. Packard. 1972. Prey remains in Golden Eagle nests: Texas and New Mexico. J. Wildl. Manage. 36:784-792."	
"Mosher, J. A. and P. F. Matray. 1974. Size dimorphism: a factor in energy savings for Broad-winged Hawks. Auk 91:325-341."	
"Mountainspring, S., T. L. C. Casey, C. B. Kepler, and J. M. Scott. 1990. Ecology, behavior, and conservation of the Poo-uli (Melamprosops phaeosoma). Wilson Bull. 102:109-122."	
"Murie, O. J. 1940. Food Habits of the Northern Bald Eagle in the Aleutian Islands, Alaska. The Condor. 42:198-202."	
"Murphy, E. C. and W. A. Lehnhausen. 1998. Density and foraging ecology of woodpeckers following a stand-replacement fire. J. Wildl. Manage. 62:1359-1372."	
"Murphy, R. K. 1993. History, nesting biology, and predation ecology of raptors in the Missouri Coteau of northwestern North Dakota. Diss. Montana State University 116-1850."	
"Murphy, R. K. 1993. History, nesting biology, and predation ecology of raptors in the Missouri Coteau of northwestern North Dakota. Diss. Montana State University."	
"Murphy, Richard K. 1997. Importance of prairie wetlands and avian prey to breeding Great Horned Owls (Bubo virginianus) in northwestern North Dakota.?UNITED STATES DEPARTMENT OF AGRICULTURE FOREST SERVICE GENERAL TECHNICAL REPORT NC?(1997): 286-298."	
"Murton, R. and N. Westwood. 1966. The foods of the Rock Dove and feral pigeon. Bird Study 13:130-146."	
"Neff, J. A. 1928. A study of the economic status of the common woodpeckers in relation to Oregon horticulture. Free Press Print, Marionville, MO."	
"Neff, J. A. 1947. Habits, food, and economic status of the Band-tailed Pigeon. U.S. Fish Wildl. Serv. N. Am. Fauna 58."	
"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Fla. Field Nat. 4:28-33."	
"Newton, I. 1967. The adaptive radiation and feeding ecology of some British finches. Ibis 109:33-98."	
"Nolan, Jr., V. 1978. The ecology and behavior of the Prairie Warbler Dendroica discolor. Ornithol. Monogr. 26:1-595."	
"Ofelt, C. H. 1975. Food habits of nesting Bald Eagles in southeast Alaska. Condor 77:337-338."	
"Ogden, J. C. (1974). The Short-Tailed Hawk in Florida: I. Migration, Habitat, Hunting Techniques, and Food Habits. The Auk, 95-110."	
"Ogden, J. C., J. A. Kushlan, and J. T. Tilmant. 1976. Prey selectivity by the Wood Stork. Condor 78:324-330."	
"Ohlendorf, H. M. 1974. Competitive relationships among kingbirds (Tyrannus) in trans-Pecos Texas. Wilson Bull. 86:357-373."	
"Ohlendorf, H. M. 1976. Comparative breeding ecology of Phoebes in Trans-Pecos Texas. Wilson Bull. 88:255-271."	
"Orians, G. H. and H. S. Horn. 1969. Overlap in foods and foraging of four species of blackbirds in the potholes of Central Washington. Ecology 50:930-938."	
"Otvos, I. S. and R. W. Stark. 1985. Arthropod food of some forest-inhabiting birds. Can. Entomol. 117:971-990."	
"Page, G. and D. F. Whitacre. 1975. Raptor predation on wintering shorebirds. Condor 77:7383."	
"Paterson, R. L. 1984. High incidence of plant material and small mammals in the autumn diet of Turkey Vultures in Virginia. Wilson Bull. 96:467-469."	
"Petersen, L. 1979. Ecology of Great Horned Owls and Red-tailed Hawks in southeastern Wisconsin. Wis. Dep. Nat. Resour. Tech. Bull. 111."	
"Peterson, D. J. and R. K. Murphy. 1992. Prey delivered to two Cooper's Hawk, Accipiter cooperii, nests in northern mixed grass prairie. Can. Field-Nat. 106:385-386."	
"Phelan, F. J. S. and R. J. Robertson. 1978. Predatory responses of a raptor guild to changes in prey density. Can. J. Zool. 56:2565-2572."	
"Pickwell, G. B. 1931. The Prairie Horned Lark. St. Louis Acad. Sci. Trans. 27:1-153."	
"Pierson, T. A., R. G. Cobb, and P. F. Scanlon. 1976. Crop contents of Rock Doves in Virginia. Wilson Bull. 88:489-490."	
"Platt, D. 1956. Food of the crow, Corvus brachyrhynchos Brehm, in south-central Kansas. Univ. of Kans. Mus. Nat. Hist. Publ. 8:479-497."	
"Platt, J.B. 1971. A SURVEY OF NESTING HAWKS, EAGLES, FALCONS AND OWLS IN CURLEW VALLEY, UTAH. Great Basin Nat. 31:51-65"	
"Proudfoot, G. A. and S. L. Beasom. 1997. Food habits of nesting Ferruginous Pygmy-Owls in southern Texas. Wilson Bull. 109:741-748."	
"Quinn, M. S. 1991. Nest site and prey of a pair of Sharp-shinned Hawks in Alberta. J. Raptor Res. 25:18-19."	
"Rathbun, S. F. 1925. The Black Swift and its habits. Auk 42:497-516."	
"Reebs, S. G. and D. A. Boag. 1987. Regurgitated pellets and late winter diet of Black-billed Magpies (Pica pica) in Central Alberta. Can. Field-Nat. 101:108-110."	
"Restani, M. 1991. Resource partitioning among three Buteo species in the Centennial Valley, Montana. Condor 93:1007-1010."	
"Retfalvi, L. 1970. Food of nesting Bald Eagles on San Juan Islan, Washington. Condor 72:358-361."	
"Reynolds III, H. V. 1969. Population status of the Golden Eagle in south-central Montana. Master's Thesis. Univ. of Montana, Missoula."	
"Reynolds, R. T. and E. C. Meslow. 1984. Partitioning of food and niche characteristics of coexisting Accipiter during breeding. Auk 101:761-777."	
"Ritchison, G. and P. M. Cavanagh. 1992. Prey use by Eastern Screech-Owls: seasonal variation in eastern Kentucky and a review of previous studies. J. Raptor Res. 26:66-73."	
"Ritter, W. E. 1938. The California Woodpecker and I. Univ. of California Press, Berkeley."	
"Robbins, C. S. 1949. Wilson's Warbler in Maryland in late December. Auk 66:207-208."	
"Robertson, R. J., P. J. Weatherhead, F. J. S. Phelan, G. L. Holroyd, and N. Lester. 1978. On assessing the economic and ecological impact of winter blackbird flocks. J. Wildl. Manage. 42:53-60."	
"Robinson, S. K. and R. T. Holmes. 1982. Foraging behavior of forest birds: the relationship among search tactics, diet, and habitat structure. Ecology 63:1918-1931."	
"Robinson, S. K. and R. T. Holmes. 1982. Foraging behavior of forest birds: the relationships among search tactics, diet, and habitat structure. Ecology 63:1918-1931."	
"Robinson, T. S. 1957. Notes on the development of a brood of Mississippi Kites in Barber County, Kansas. Trans. Kans. Acad. Sci. 60:174-180."	
"Root, R. B. 1962. Comments on the status of some western specimens of the American Redstart. Condor 64:76-77."	
"Root, R. B. 1967. The niche exploitation pattern of the Blue-gray Gnatcatcher. Ecol. Monogr. 37:317-350."	
"Root, Richard B. \The Niche Exploitation of the Blue-Gray Gnatcatcher.\\ Ecological Monographs 37.4 (1967): 317-50. JSTOR. Web. <http://www.jstor.org/stable/1942327>.\\\\\"	
"Rosas Espinosa, V.C. et al. 2008. Diet of acorn woodpeckers at La Primavera Forest, Jalisco, Mexico.  The Wilson Journal of Ornithology 120(3): 494-498."	
"Rosenberg, D. K., M. H. Wilson, and F. Cruz. 1990. The distribution and abundance of the Smooth-billed Ani Crotophaga ani (L.) In the Galapagos Islands, Ecuador. Biol. Conserv. 51:113-123."	
"Rosenberg, K. V., R. D. Ohmart, and B. W. Anderson. 1982. Community organization of riparian breeding birds: response to an annual resource peak. Auk 99:260-274."	
"Rosenfield, R. N., M. W. Gratson, and L. B. Carson. 1984. Food brought by Broad-winged Hawks to a Wisconsin nest. J. Field Ornithol. 55:246-247."	
"Roth II, T. C. and S. L. Lima. 2003. Hunting behavior and diet of Cooper's Hawks: an urban view of the small-bird-in-winter paradigm. Condor 105(3):474-483."	
"Roth II, T. C. and S. L. Lima. 2006. Predatory Behavior and Diet of Wintering Male Cooper's Hawks in Rural Habitat. The Journal of Raptor Research. 40(4):287-290."	
"Rudolph, S. G. 1978. Predation ecology of coexisting Great Horned and Barn Owls. Wilson Bull. 90:134-137."	
"Rusch, D. H. and P. D. Doerr. 1972. Broad-winged Hawk nesting and food habits. Auk 89:139-145."	
"Rusch, D. H., E. C. Meslow, P. D. Doerr, and L. B. Keith. 1972. Response of Great Horned Owl populations to changing prey densities. J. Wildl. Manage. 36:282-296."	
"Russell, D. N. 1971. Food habits of the starling in eastern Texas. Condor 73:369-372."	
"Schacht, S. J., T. C. Tacha, and G. L. Waggerman. 1995. Bioenergetics of White-winged Dove reproduction in the lower Rio Grande valley of Texas. Wildl. Monogr. 129:1-31."	
"Schmutz, J. K., S. M. Schmutz, and D. A. Boag. 1980. Coexistence of three species of hawks (Buteo spp.) in the prairie-parkland ecotone. Can. J. Zool. 58:1075-1089."	
"Schnell, J. H. 1958. Nesting behavior and food habits of goshawks in the Sierra Nevada of California. Condor 60:377-403."	
"Schwartz, C. W. and E. R. Schwartz. 1949. A reconnaissance of the game birds of Hawaii. Board of Comm. of Agric. and Forestry. The Hawaii News Printshop, Hilo, HI."	
"Schwartz, C. W. and E. R. Schwartz. 1951. A survey of the Lace-necked Dove in Hawaii. Pac. Sci. 5(1):90-107."	
"Scott, P. F. and R. F. Martin. 1984. Avian consumers of Bursera, Ficus, and Ehretia fruit in Yucatan. Biotropica 16:319-323."	
"Sherfy, J. A. 1984. The effect of predator avoidance by ghost crabs on the foraging success of Black Hawks. Am. Zool. 24:50."	
"Skorupa, J. P., R. L. Hothem, and R. W. DeHaven. 1980. Foods of breeding Tricolored Blackbirds in agricultural areas of Merced County, California. Condor 82:465-467."	
"Smith, D. G. and J. R. Murphy. 1973. Breeding ecology of raptors in the eastern Great Basin of Utah. Brigham Young Univ. Sci. Bull. Biol. Ser. 18(3):1-76."	
"Snyder, N. F. R. and J. W. Wiley. 1976. Sexual size dimorphism in hawks and owls of North America. Ornithol. Monogr. 20."	
"Soriano, P. S. 1931. Food habits and economic status of the Brewer and Red-winged blackbirds. Calif. Fish Game 17:361-395."	
"Springer, A. M. 1975. Observations on the summer diet of Rough-legged Hawks from Alaska. Condor 77:338-339."	
"Stalmaster, M. V. and R. G. Plettner. 1992. Diets and foraging effectiveness of Bald Eagles during extreme winter weather in Nebraska. J. Wildl. Manage. 56:355-367."	
"Steeger, C., H. Esselink, and R. C. Ydenberg. 1992. Comparative feeding ecology and reproductive performance of Ospreys in different habitats of southeastern British Columbia. Can. J. Zool. 70:470-475."	
"Steenhof, K. and M. N. Kochert. 1985. Dietary shifts of sympatric buteos during a prey decline. Oecologia 66:6-16."	
"Stendell, R. C., & Myers, P. (1973). White-tailed kite predation on a fluctuating vole population.·The Condor,·75(3), 359-360."	
"Storer, R. W. 1966. Sexual dimorphism and food habits in three North American accipiters. Auk 83:423-436."	
"Storer, R. W. 1966. Sexual dimorphism and food habits of three North American accipiters. Auk 83:423-436."	
"Strong, A. M. 2000. Divergent foraging strategies of two neotropical migrant warblers: Implications for winter habitat use. Auk 117(2):381-392."	
"Swenson, J. E., K. L. Alt, and R. L. Eng. 1986. Ecology of Bald Eagles in the greater Yellowstone ecosystem. Wildl. Monogr. 95."	
"Takats, D. L. 1998. Barred Owl habitat use and distribution in the Foothills Model Forest. Master's Thesis. Univ. of Alberta, Edmonton."	
"Teather, K. L. and P. J. Weatherhead. 1988. Sex-specific energy requirements of Great-tailed Grackle (Quis-calus mexicanus) nestlings. J. Anim. Ecol. 57:659-668."	
"Thiel, R. P. 1976. Activity patterns and food habits of southeastern Wisconsin turkey vultures. Passenger Pigeon 38:137-143."	
"Thompson, C. M., P.E. Nye, G. A. Schmidt, and D. K. Garcelon. 2005. Foraging Ecology of Bald Eagles in a Freshwater Tidal System. Journal of Wildlife Management. 69:609-617. "	
"Timken, R. L. 1970. Food habits and feeding behavior of the Baltimore Oriole in Costa Rica. Wilson Bull. 82:184-188."	
"Todd, C. S., L. S. Young, R. B. Owen, and F. J. Gramlich. 1982. Food habits of Bald Eagles in Maine. J. Wildl. Manage. 46:636-645."	
"Todd, D.L., Poulin R.G., and Brigham R.M. 1998. Diet of Common Nighthawks (Chordeiles minor: Caprimulgidae) Relative to Prey Abundance. American Midland Naturialist. Vol 139, (1) 20-28."	
"Toland, B. 1986. Hunting success of some Missouri raptors. Wilson Bull. 98:116-125."	
"Tyler, J. D. and J. F. Jensen. 1981. Notes on foods of Great Horned Owls (Bubo virginianus) in Jackson County, Oklahoma. Proc. Okla. Acad. Sci. 61:28-30."	
"Van Daele, L. J. and H. A. Van Daele. 1982. Factors affecting the productivity of Ospreys nesting in west-central Idaho. Condor 84:292-299."	
"Verbeek, N. A. M. 1970. The exploitation system of the Yellow-billed Magpie. Phd Thesis. Univ. of California, Berkeley."	
"Watson, J. W. 1984. Rough-legged Hawk winter ecology in southeastern Idaho. Master's Thesis. Univ. of Montana, Missoula."	
"Watson, J. W. 2002. Comparative Home Ranges and Food Habits of Bald Eagles Nesting in Four Aquatic Habitats in Western Washington. Northwestern Naturalist. 83:101-108."	
"Weik, A. P. 1987. The status of Golden Eagles nesting in Maine. Maine Dep. Inland Fish. Wildl. Orono, ME."	
"Weller, M. W. 1964. Habitat utilization of two species of buteos wintering in central Iowa. Iowa Bird Life 34:58-62."	
"West, G. C. 1973. Foods eaten by Tree Sparrows in relation to availability during summer in northern Manitoba. Arctic 26:7-21."	
"Wheelwright, N. T. 1986. The diet of American Robins: an analysis of U.S. Biological Survey records. Auk 103:710-725."	
"White, S. B., R. A. Dolbeer, and T. A. Bookhout. 1985. Ecology, bioenergetics, and agricultural impacts of a winter-roosting population of blackbirds and starlings. Wildl. Monogr. 93:1-42."	
"Wiens, J. A. 1969. An approach to the study of ecological relationships among grassland birds. Ornithol. Monogr. 8:1-93."	
"Wiens, J. A. and J. T. Rotenberry. 1979. Diet niche relationships among North American grassland and shrubsteppe birds. Oecologia 42:253-292."	
"Wiley, J. W. and B. N. Wiley. 1979. The biology of the White-crowned Pigeon. Wildl. Monogr. 64:1-54."	
"Williams, J. B. and G. O. Batzli. 1979. Winter diet of a bark-foraging guild of birds. Wilson Bull. 91:126-131."	
"Williams, J. B. and G. O. Batzli. 1979b. Winter diet of a bark-foraging guild of birds. Wilson Bull. 91:126-131."	
"Williams, R. E. and W. B. Jackson. 1981. Dietary comparisons of Red-winged Blackbirds, Brown-headed Cowbirds, and European Starlings in north central Ohio. Ohio J. Sci. 81:217-225."	
"Williams, R. E. and W. B. Jackson. 1981. Dietary comparisons of Red-winged Blackbirds, Brown-headed Cowbirds, and European Starlings in north-central Ohio. Ohio J. Sci. 81:217-225."	
"Witmer, M. C. 1996a. Annual diet of Cedar Waxwing based on U.S. Biological Survey records (1885-1950) compared to diet of American Robin: contrasts in dietary patterns and natural history. Auk 113:414-430."	
"Woodgerd, W. 1952. Food habits of the Golden Eagle. J. Wildl. Manage. 16:457-459."	
"Wright, B. S. 1953. The relation of Bald Eagles to breeding ducks in New Brunswick. J. Wildl. Manage. 17:55-62."	
"Yard, H.K., C. Van Riper III, B.T. Brown, and M.J. Kearsley. 2004. Diets of insectivorous birds along the Colorado River in Grand Canyon, Arizona. Condor 106(1): 106-115."	
"Yosef, R. and T. C. Grubb. 1993. Effect of vegetation height on hunting behavoir and diet of Loggerhead Shrikes. Condor 95:127-131."	
