Source	Common_Name	Subspecies	Observation_Year_Begin	Observation_Month_Begin	Observation_Season	Analysis_Number	Bird_Sample_Size	Habitat_type	Location_Region	Location_Specific	Item_Sample_Size	Diet_Type	Study_Type	Sites	Sum_Diet	Checked
"Bloom, P. H. and S. J. Hawks. 1982. Food habits of nesting Golden Eagles in northeast California and northwest Nevada. Journal of Raptor Research 16:110-115."	Golden Eagle	NA	1977	NA	spring;summer	1	21	grassland;shrubland;woodland	California;Nevada	"Lassen, Modoc, and Washoe counties"	171	Items	nest debris	NA	0.965	
"Bloom, P. H. and S. J. Hawks. 1982. Food habits of nesting Golden Eagles in northeast California and northwest Nevada. Journal of Raptor Research 16:110-115."	Golden Eagle	NA	1978	NA	spring;summer	1	17	grassland;shrubland;woodland	California;Nevada	"Lassen, Modoc, and Washoe counties"	224	Items	nest debris	NA	0.965	
"Bloom, P. H. and S. J. Hawks. 1982. Food habits of nesting Golden Eagles in northeast California and northwest Nevada. Journal of Raptor Research 16:110-115."	Golden Eagle	NA	1979	NA	spring;summer	1	23	grassland;shrubland;woodland	California;Nevada	"Lassen, Modoc, and Washoe counties"	237	Items	nest debris	NA	0.955	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	3	agriculture	California	Plumas County	NA	Wt_or_Vol	fecal contents	NA	3	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	6	agriculture	California	Kern County	NA	Wt_or_Vol	fecal contents	NA	2.263	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	18	agriculture	California	Imperial County	NA	Wt_or_Vol	fecal contents	NA	1.176	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	18	agriculture	California	Madera County	NA	Wt_or_Vol	fecal contents	NA	2.982	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	18	agriculture	California	Nevada County	NA	Wt_or_Vol	fecal contents	NA	2.991	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	19	agriculture	California	Santa Barbara County	NA	Wt_or_Vol	fecal contents	NA	2.001	
"Bryant, H. C. 1914. A determination of the economic status of the western meadowlark (Sturnella neglecta) in California. University of California Publications in Zoology 11:377-510."	Western Meadowlark	NA	1911	NA		1	20	agriculture	California	Sonoma County	NA	Wt_or_Vol	fecal contents	NA	1.99	
