common_name	family	revised	section	subsection	citation	checked	usable_data	notes
Ou	Drepanididae	1998	Feeding	Food Capture And Consumption	"Perkins, R. C. L. 1893. Notes on collecting in Kona, Hawaii. Ibis 1893:101-114."			
Ou	Drepanididae	1998	Diet	Major Food Items	"Banko, W. E. 1986. Avian history report 10, history of endemic Hawaiian birds, Part 1. Population histories-species accounts, forest birds: Maui Parrotbill, '????'????, Palila, Greater Koa Finch, Lesser Koa Finch, and Grosbeak Finch. Coop. Natl. Park Res. Stud. Unit, Univ. of Hawaii, Honolulu, HI."			
Ou	Drepanididae	1998	Feeding	Main Foods Taken	"Conant, S., H. D. Pratt, and R. J. Shallenberger. 1998. Reflections on a 1975 expedition to the lost world of the Alaka'i and other notes on the natural history, systematics, and conservation of Kaua'i birds. Wilson Bull. 110(1):1-22."			
Ou	Drepanididae	1998	Feeding	Food Capture And Consumption	"Raikow, R. J. 1977. The origin and evolution of the Hawaiian Honeycreepers (Drepanididae). Living Bird 15:95-117."			
Ou	Drepanididae	1998	Diet	Major Food Items	"Henshaw, H. W. 1902. Birds of the Hawaiian Islands, being a complete list of the birds of the Hawaiian possessions with notes on their habits. T. G. Thrum, Honolulu, HI."			
Ou	Drepanididae	1998	Feeding	Main Foods Taken	"Perkins, R. C. L. 1903. Vertebrata (Aves). Pages 368-465 in Fauna Hawaiiensis. Vol. 1, part IV (Sharp, D., Ed.) Univ. Press, Cambridge, UK."			
Ou	Drepanididae	1998	Diet	Major Food Items	"Bryan, W. A. 1908. Some birds of Molokai. Occas. Pap. B. P. Bishop Mus. 4:133-176."			
Palila	Drepanididae	2002	Diet	Major Food Items	"Van Riper III, C. 1980a. Observations on the breeding of the Palila Psittirostra bailleui of Hawaii. Ibis 122:462-475."			
Palila	Drepanididae	2002	Nutrition And Energetics		"Banko, P. C., M. L. Cipollini, G. W. Breton, E. Paulk, M. Wink, and I. Izhaki. 2002b. Seed chemistry of Sophora chrysophylla (mamane) in relation to the diet of the specialist seed predator Loxioides bailleui (Palila) in Hawaii. J. Chem. Ecol. 28:1389-1406."			
Palila	Drepanididae	2002	Food Selection And Storage		"Scott, J. M., S. Mountainspring, C. van Riper III, C. B. Kepler, J. D. Jacobi, T. A. Burr, and J. G. Giffin. 1984. Annual variation in the distribution, abundance, and habitat response of the Palila (Loxioides bailleui). Auk 101:647-664."			
Palila	Drepanididae	2002	Food Selection And Storage		"Hess, S. C., P. C. Banko, M. H. Reynolds, G. J. Brenner, L. P. Laniawe, and J. D. Jacobi. 2001. Drepanidine movements in relation to food availability in subalpine woodland on Mauna Kea, Hawai'i. Stud. Avian Biol. 22:154-163."			
Palila	Drepanididae	2002	Food Selection And Storage		"Van Riper III, C. 1978. The breeding ecology of the Amakihi (Loxops virens) and Palila (Psittirostra bailleui) on Mauna Kea, Hawaii. Phd Thesis. Univ. of Hawaii, Honolulu."			
Palila	Drepanididae	2002	Metabolism And Temperature Regulation		"Weathers, W. W. and C. van Riper III. 1982. Temperature regulation in two endangered Hawaiian honeycreepers: the Palila (Psittirostra bailleui) and the Laysan Finch (Psittirostra cantans). Auk 99:667-674."			
Palila	Drepanididae	2002	Diet	Major Food Items	"Perkins, R. C. L. 1903. Vertebrata. Pages 365-466 in Fauna Hawaiiensis. Vol. 1, Pt. 4. (Sharpe, D., Ed.) University Press, Cambridge, U.K."			
Poouli	Drepanididae	1997	Feeding	Food Capture And Consumption	"Mountainspring, S. 1987. Ecology, behavior, and conservation of the Maui Parrotbill. Condor 89:24-39."			
Poouli	Drepanididae	1997	Feeding	Microhabitat For Foraging	"Mountainspring, S., T. L. C. Casey, C. B. Kepler, and J. M. Scott. 1990. Ecology, behavior, and conservation of the Poo-uli (Melamprosops phaeosoma). Wilson Bull. 102:109-122."	y	y	
Poouli	Drepanididae	1997	Feeding	Microhabitat For Foraging	"Casey, T. L. C. 1978. Comparative ecology of four Hawaiian honeycreepers. Masters' thesis. Colorado State Univ., Fort Collins."	n		
Poouli	Drepanididae	1997	Feeding	Food Capture And Consumption	"Perkins, R. C. L. 1903. Vertebrata. Pages 365-466 in Fauna Hawaiiensis. Vol. 1, part IV. (Sharp, D., Ed.) The Univ. Press, Cambridge, U.K."	y	n	
Poouli	Drepanididae	1997	Feeding	Food Capture And Consumption	"Bock, W. J. 1978. Tongue morphology and affinities of the Hawaiian honeycreeper Melamprosops phaeosoma. Ibis 120:467-479."	n		
Poouli	Drepanididae	1997	Feeding	Food Capture And Consumption	"Baldwin, P. H. and T. L. C. Casey. 1983. A preliminary list of foods of the Po'o-uli. 'Elepaio 43:53-56."	y	y	
Abert's Towhee	Emberizidae	1994	Feeding	Microhabitat For Foraging	"Marshall, Jr., J. T. 1960. Interrelationships of Abert's and Brown Towhees. Condor 62:49-64."	y	y	
Abert's Towhee	Emberizidae	1994	Feeding	Main Foods Taken	"Rosenberg, K. V., R. D. Ohmart, W. C. Hunter, and B. W. Anderson. 1991. Birds of the lower Colorado River valley. Univ. Arizona Press, Tucson."			
Abert's Towhee	Emberizidae	1994	Feeding	Food Capture And Consumption	"Finch, D. M. 1984a. Parental expenditure of time and energy in the Abert's Towhee (Pipilo aberti). Auk 101:473-486."			
Abert's Towhee	Emberizidae	1994	Metabolism And Temperature Regulation		"Dawson, W. R. 1954. Temperature regulation of Brown and Abert's towhees, Pipilo fuscus and Pipilo aberti. Univ. Calif. Publ. Zool. 59:81-124."			
Abert's Towhee	Emberizidae	1994	Feeding	Food Capture And Consumption	"Dunning, Jr., J. B. 1986. Foraging choices in three species of Pipilo (Aves: Passeriformes): a test of the threshold concept. Phd Thesis. Univ. Arizona, Tucson."			
Abert's Towhee	Emberizidae	1994	Metabolism And Temperature Regulation		"Wingfield, J. C., C. M. Vleck, and M. C. Moore. 1992. Seasonal changes of the adrenocortical response to stress in birds of the Sonoran Desert. J. Exp. Zool. 264:419-428."			
American Tree Sparrow	Emberizidae	1993	"Drinking, Pellet-Casting, And Defecation"		"Ohmart, R. D. and E. L. Smith. 1970. Use of sodium chloride solution by the Brewer's Sparrow and Tree Sparrow. Auk 87:329-341."			
American Tree Sparrow	Emberizidae	1993	Diet	Major Food Items	"Martin, E. W. 1968. The effects of dietary protein on the energy and nitrogen balance of the Tree Sparrow (Spizella arborea arborea). Physiol. Zool. 41:313-331."			
American Tree Sparrow	Emberizidae	1993	Metabolism And Temperature Regulation		"West, G. C. 1960. Seasonal variation in the energy balance of the Tree Sparrow in relation to migration. Auk 77:306-329."			
American Tree Sparrow	Emberizidae	1993	Nutrition And Energetics		"Stuebe, M. M. and E. D. Ketterson. 1982. A study of fasting in Tree Sparrows (Spizella arborea) and Dark-eyed Juncos (Junco hyemalis): ecological implications. Auk 99:299-308."			
American Tree Sparrow	Emberizidae	1993	Diet	Major Food Items	"Dance, K. W. 1986. Winter foods of Northern Cardinal, American Tree Sparrow and Pine Grosbeak in Southern Ontario. Ont. Birds 4:33-35."			
American Tree Sparrow	Emberizidae	1993	Diet	Major Food Items	"West, G. C. 1973. Foods eaten by Tree Sparrows in relation to availability during summer in northern Manitoba. Arctic 26:7-21."			
American Tree Sparrow	Emberizidae	1993	Feeding	Food Capture And Consumption	"Gaines, S. 1989. Comparisons of patch-use models for wintering American Tree Sparrows. Auk 106:118-123."			
American Tree Sparrow	Emberizidae	1993	Feeding	Microhabitat For Foraging	"Baumgartner, A. M. 1937c. Food and feeding habits of the Tree Sparrow. Wilson Bull. 49:65-80."			
American Tree Sparrow	Emberizidae	1993	Diet	Major Food Items	"Baumgartner, A. M. 1968. Tree Sparrow. Pages 1137-1165 in Life histories of North American cardinals, grosbeaks, buntings, towhees, finches, sparrows and allies. (Austin, Jr., O L., Ed.) U.S. Natl. Mus. Bull. 237."			
American Tree Sparrow	Emberizidae	1993	Feeding	Food Capture And Consumption	"Capainola, P. 1984. Feeding strategies among sympatric passerines in winter. Kingbird 34:87-89."			
American Tree Sparrow	Emberizidae	1993	Diet	Major Food Items	"Russak, M. L. 1956. Tree Sparrows (Spizella arborea) feeding on the common reed. Auk 73:288."			
American Tree Sparrow	Emberizidae	1993	Metabolism And Temperature Regulation		"Shuman, T. W., R. J. Robel, J. L. Zimmerman, and K. E. Kemp. 1989. Variance in digestive efficiencies of four sympatric avian granivores. Auk 106:324-326."			
American Tree Sparrow	Emberizidae	1993	Feeding	Food Capture And Consumption	"Goldman, P. 1976. An unusual foraging behavior of Tree Sparrows. Auk 93:644."			
American Tree Sparrow	Emberizidae	1993	Feeding	Food Capture And Consumption	"Willson, M. F. 1972. Seed size preference in finches. Wilson Bull. 84:449-455."			
Bachman's Sparrow	Emberizidae	1-Jan-06	Diet		"Meanley, B. 1959. Notes on Bachman's Sparrow in central Louisiana. Auk 76:232-234."			
Bachman's Sparrow	Emberizidae	1-Jan-06	Diet		"Wolf, L. L. 1977. Species relationships in the avian genus Aimophila. Ornithol. Monogr. 23."			
Bachman's Sparrow	Emberizidae	1-Jan-06	Feeding	Food Capture And Consumption	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."			
Bachman's Sparrow	Emberizidae	1-Jan-06	Diet		"Weston, F. M. 1968. Bachman's Sparrow. Pages 956-975 in Life histories of North American cardinals, grosbeaks, buntings and allies. (Austin, O. L., Ed.) U.S. Nat. Mus. Bull. 237."			
Baird's Sparrow	Emberizidae	2002	Diet	Major Food Items	"Lane, J. 1968. Ammodramus bairdii (Audubon). Baird's Sparrow. Pages 745-765 in Life histories of North American cardinals, grosbeaks, buntings, towhees, finches, sparrows, and their allies. (Austin, Jr., O. L., Ed.) U.S. Natl. Mus. Bull. 237 Pt. 2."			
Baird's Sparrow	Emberizidae	2002	Diet	Quantitative Analysis	"Cartwright, B. W., T. M. Shortt, and R. D. Harris. 1937. Baird's Sparrow. Contrib. R. Ontario Mus. Zool., no. 11. Trans. R. Can. Inst., no. 46, vol. 21, pt. 2:153-198."			
Black-chinned Sparrow	Emberizidae	1997	"Drinking, Pellet-Casting, And Defecation"		"Hardy, R. 1949. Ground Dove and Black-chinned Sparrow in southern Nevada. Condor 51:272-273."			
Black-chinned Sparrow	Emberizidae	1997	Diet		"Johnson, D. H., M. D. Bryant, and A. H. Miller. 1948. Vertebrate animals of the Providence Mountains area of California. Univ. Calif. Publ. Zool. 48:221-376."			
Black-chinned Sparrow	Emberizidae	1997	Feeding	Microhabitat For Foraging	"Newman, J. D. 1968a. Arizona Black-chinned Sparrow. Pages 1241-1246 in Life histories of cardinals, grosbeaks, buntings, towhees, finches, sparrow, and their allies. (Austin, Jr., O. L., Ed.) U.S. Nat. Mus. Bull. 237."			
Black-chinned Sparrow	Emberizidae	1997	Feeding	Microhabitat For Foraging	"Grinnell, J. and A. H. Miller. 1944. Distribution of the birds of California. Pac. Coast Avifauna 27."			
Black-chinned Sparrow	Emberizidae	1997	"Drinking, Pellet-Casting, And Defecation"		"Pough, R. H. 1957. Audubon western bird guide: land, water, and game birds. Doubleday, Garden City, NY."			
Black-chinned Sparrow	Emberizidae	1997	Feeding	Main Foods Taken	"Oberholser, H. C. 1974. The bird life of Texas. Univ. of Texas Press, Austin."			
Black-chinned Sparrow	Emberizidae	1997	"Drinking, Pellet-Casting, And Defecation"		"Miller, A. H. and R. C. Stebbins. 1964. The lives of desert animals in Joshua Tree National Monument. Univ. of California Press, Berkeley."			
Black-chinned Sparrow	Emberizidae	1997	Feeding	Main Foods Taken	"Weathers, W. 1983. Birds of southern California's deep canyon. Univ. of California Press, Berkeley and Los Angeles."			
Black-throated Sparrow	Emberizidae	2002	Diet	Major Food Items	"Smyth, M. and G. A. Bartholomew. 1966. The water economy of the Black-throated Sparrow and the Rock Wren. Condor 68:447-458."			
Black-throated Sparrow	Emberizidae	2002	Metabolism And Temperature Regulation		"Wingfield, J. C., C. M. Vleck, and M. C. Moore. 1992. Seasonal changes of the adrenocortical response to stress in birds of the Sonoran Desert. J. Exp. Zool. 264:419-428."			
Black-throated Sparrow	Emberizidae	2002	Feeding	Microhabitat For Foraging	"Delesantro, M. C. 1978. The breeding ecology of the Black-throated Sparrow in southern New Mexico. Master's Thesis. New Mexico State Univ. Las Cruces."			
Black-throated Sparrow	Emberizidae	2002	Feeding	Main Food Taken	"Zimmer, K. J. 1983. The foraging ecology of nesting Black-throated Sparrows. Master's Thesis. New Mexico State Univ. Las Cruces."			
Black-throated Sparrow	Emberizidae	2002	Feeding	Main Food Taken	"Eichinger, J. 1980. Some aspects of the foraging ecology of Mojave Desert finch flocks. Master's Thesis. California State Polytechnic Univ. Pomona."			
Black-throated Sparrow	Emberizidae	2002	Diet	Major Food Items	"Zimmer, K. J. 1993. Spatial and temporal variation in the breeding and foraging ecology of Black-throated Sparrows. Phd Thesis. New Mexico State Univ. Las Cruces."			
Brewer's Sparrow	Emberizidae	1999	Feeding	Microhabitat For Foraging	"Wiens, J. A., B. Van Horne, and J. T. Rotenberry. 1987b. Temporal and spatial variations in the behavior of shrubsteppe birds. Oecologia 73:60-70."			
Brewer's Sparrow	Emberizidae	1999	Diet	Major Food Items	"Rosenberg, K. V., R. D. Ohmart, W. C. Hunter, and B. W. Anderson. 1991. Birds of the lower Colorado River valley. Univ. of Arizona Press, Tucson."			
Brewer's Sparrow	Emberizidae	1999	Water Balance		"Ohmart, R. D. and E. L. Smith. 1970. Use of sodium chloride solutions by the Brewer's Sparrow and Tree Sparrow. Auk 87:329-341."			
Brewer's Sparrow	Emberizidae	1999	Feeding	Microhabitat For Foraging	"Wiens, J. A., B. Van Horne, and J. T. Rotenberry. 1990. Comparisons of the behavior of Sage and Brewer's sparrows in shrubsteppe habitats. Condor 92:264-266."			
Brewer's Sparrow	Emberizidae	1999	Water Balance		"Dawson, W. R., C. Carey, C. S. Adkisson, and R. D. Ohmart. 1979. Responses of Brewer's and Chipping sparrows to water restriction. Physiol. Zool. 52:529-541."			
Brewer's Sparrow	Emberizidae	1999	Diet	Major Food Items	"Martin, A. C., H. S. Zim, and A. L. Nelson. 1951. American wildlife and plants: a guide to wildlife food habits. Dover Publ. Inc., New York."			
Brewer's Sparrow	Emberizidae	1999	Feeding	Microhabitat For Foraging	"Rotenberry, J. T. and J. A. Wiens. 1998. Foraging patch selection by shrubsteppe sparrows. Ecology 79:1160-1173."			
Brewer's Sparrow	Emberizidae	1999	Diet	Major Food Items	"Kalmbach, E. R. 1914. Birds in relation to the alfalfa weevil. U.S. Dep. Agric. Bull. 107:1-64."			
Brewer's Sparrow	Emberizidae	1999	Diet	Major Food Items	"Stephens, D. A. 1985. Foraging ecology of shrubsteppe birds in central Washington. Master's Thesis. Cent. Washington Univ., Ellensburg, WA."			
Brewer's Sparrow	Emberizidae	1999	Diet	Major Food Items	"Best, L. B. 1972. First year effects of sagebrush control on two sparrows. J. Wildl. Manage. 36:534-544."			
Brewer's Sparrow	Emberizidae	1999	Diet	Major Food Items	"Rotenberry, J. T. 1980. Dietary relationships among shrubsteppe passerine birds: competition or opportunism in a variable environment? Ecol. Monogr. 50:93-110."			
Brewer's Sparrow	Emberizidae	1999	Feeding	Food Capture And Consumption	"Greenlaw, J. S. 1977. Taxonomic distribution, origin, and evolution of bilateral scratching in ground-feeding birds. Condor 79:426-439."			
Brewer's Sparrow	Emberizidae	1999	Diet	Major Food Items	"Wiens, J. A. and J. T. Rotenberry. 1979. Diet niche relationships among North American grassland and shrubsteppe birds. Oecologia 42:253-292."			
California Towhee	Emberizidae	16-May-11	Feeding	Main Foods Taken	"Sumner, L. and J. S. Dixon. 1953. Birds and mammals of the Sierra Nevada. Univ. of California Press, Berkeley."			
California Towhee	Emberizidae	16-May-11	Feeding	Main Foods Taken	"Beal, F. E. L. 1910. Birds of California in relation to the fruit industry, pt. 2. U.S. Dep. Agric. Biol. Surv., Bull. 34."	y	y	data has not yet been entered
California Towhee	Emberizidae	16-May-11	Metabolism And Temperature Regulation		"Bartholomew, G. A. and W. R. Dawson. 1953. Respiratory water loss in some birds of southwestern United States. Physiol. Zool. 26:162-166."			
California Towhee	Emberizidae	16-May-11	Feeding	Microhabitat For Foraging	"Hejl, S. J. 1981. Foraging ecology of birds in relation to plant phenology in California pine-oak woodlands. Master's Thesis. Univ. of California, Davis."			
California Towhee	Emberizidae	16-May-11	Feeding		"Davis, J. 1957. Comparative foraging behavior of the Spotted and Brown towhees. Auk 74:129-166."			
California Towhee	Emberizidae	16-May-11	"Drinking, Pellet-Casting, And Defecation"		"Childs, Jr., H. E. 1968. Pipilo fuscus carolae: Sacramento Brown Towhee. Pages 603-604 in Life histories of North American cardinals, grosbeaks, buntings, towhees, finches, sparrows, and allies. (Austin, Jr., O. L., Ed.) U.S. Natl. Mus. Bull. 237. Pt. 2."			
California Towhee	Emberizidae	16-May-11	Metabolism And Temperature Regulation		"Dawson, W. R. 1954. Temperature regulation and water requirements of the Brown and Abert towhees, Pipilo fuscus and Pipilo aberti. Univ. of Calif. Publ. Zool. 59:81-124."			
California Towhee	Emberizidae	16-May-11	Metabolism And Temperature Regulation		"Mcnab, B. K. 1966. An analysis of the body temperatures of birds. Condor 68:47-55."			
California Towhee	Emberizidae	16-May-11	Diet	Major Food Items	"Dawson, W. L. 1923. The birds of California. Vol. I. South Moulton Co. San Diego, CA."			
California Towhee	Emberizidae	16-May-11	Feeding	Food Capture And Consumption	"Greenlaw, J. S. 1996. Spotted Towhee (Pipilo maculatus). in The birds of North America, no. 263. (Poole, A. and F. Gill, Eds.) Acad. Nat. Sci., Philadelphia, PA, and Am. Ornithol. Union, Washington, D.C."			
California Towhee	Emberizidae	16-May-11	"Drinking, Pellet-Casting, And Defecation"		"Weathers, W. W. 1983. Birds of southern California's Deep Canyon. Univ. of California Press, Berkeley."			
California Towhee	Emberizidae	16-May-11	Metabolism And Temperature Regulation		"Bartholomew, G. A. and T. J. Cade. 1963. The water economy of land birds. Auk 80:504-539."			
California Towhee	Emberizidae	16-May-11	Feeding	Food Capture And Consumption	"Davis, J. 1951. Distribution and variation of the Brown Towhees. Univ. of Calif. Publ. Zool. 52:1-120."			
Canyon Towhee	Emberizidae	1996	Feeding	Main Foods Taken	"Bailey, F. M. 1928. Birds of New Mexico. N.M. Game and Fish and U.S. Bur. Biol. Surv. Washington, D.C."			
Canyon Towhee	Emberizidae	1996	"Drinking, Pellet-Casting, And Defecation"		"Elder, J. B. 1953. Utilization of man-made waterholes by wildlife in southern Arizona. Master's Thesis. Univ. of Arizona, Tucson."			
Canyon Towhee	Emberizidae	1996	Feeding	Main Foods Taken	"Marshall, J. T. and R. R. Johnson. 1968. Pipilo fuscus mesoleucus, Canyon Brown Towhee. Pages 622-630 in Life histories of North American cardinals, grosbeaks, buntings, towhees, finches, sparrows, and allies. (Austin, Jr., O. L., Ed.) U.S. Natl. Mus. Bull. 237, Part 2."			
Canyon Towhee	Emberizidae	1996	Feeding	Food Capture And Consumption	"Selander, R. K. and J. K. Baker. 1957. The Cave Swallow in Texas. Condor 59:345-367."			
Canyon Towhee	Emberizidae	1996	"Drinking, Pellet-Casting, And Defecation"		"Gubanich, A. A. 1966. Avian utilization of desert waterholes. Master's Thesis. Univ. of Arizona, Tucson."			
Canyon Towhee	Emberizidae	1996	Metabolism And Temperature Regulation		"Austin, G. T. and E. L. Smith. 1974. Use of burrows by Brown Towhees and Black-throated Sparrows. Auk 91:167."			
Canyon Towhee	Emberizidae	1996	Feeding	Microhabitat For Foraging	"Marshall, J. T. 1960. Interrelations of Abert and Brown towhees. Condor 62:49-64."			
Canyon Towhee	Emberizidae	1996	Feeding	Main Foods Taken	"Marshall, J. T. 1957. Birds of the pine-oak woodland in southern Arizona and adjacent Mexico. Pac. Coast Avifauna 32."			
Canyon Towhee	Emberizidae	1996	Nutrition And Energetics		"Dunning, Jr., J. B. 1986. Foraging choices in three species of Pipilo (Aves: Passeriformes) a test of the threshold concept. Phd Thesis. Univ. of Arizona, Tucson."			
Canyon Towhee	Emberizidae	1996	Feeding	Food Capture And Consumption	"Bailey, F. M. 1904. Handbook of birds of the western United States. 2nd ed. Riverside Press, Cambridge, MA."			
Canyon Towhee	Emberizidae	1996	Diet	Major Food Items	"Bailey, F. M. 1923. Birds recorded from the Santa Rita Mountains in southern Arizona. Pac. Coast Avifauna 15:1-60."			
Canyon Towhee	Emberizidae	1996	Diet	Major Food Items	"Oberholser, H. C. 1974. The bird life of Texas. Vol. 2. Univ. of Texas Press, Austin."			
Canyon Towhee	Emberizidae	1996	Feeding	Food Capture And Consumption	"Wauer, R. H. 1993. The visitor's guide to the birds of the Rocky Mountain national parks: United States and Canada. John Muir Publ. Santa Fe, NM."			
Cassin's Sparrow	Emberizidae	1999	Diet		"Oberholser, H. C. 1974. The bird life of Texas. Univ. of Texas Press, Austin."			
Cassin's Sparrow	Emberizidae	1999	Diet		"Williams, F. C. and A. L. LeSarrier. 1968. Aimophila cassinii (Woodhouse) Cassin's Sparrow. Pages 981-990 in Life histories of North American towhees, sparrows and buntings. (Bent, A. C. and O. L. Austin, Eds.) U.S. Nat. Mus. Bull 237."			
Cassin's Sparrow	Emberizidae	1999	Feeding	Food Capture And Consumption	"Schnase, J. L. 1984. The breeding biology of Cassin's Sparrow (Aimophila cassinii) in Tom Green County, Texas. Master's Thesis. Angelo State Univ., San Angelo, TX."			
Cassin's Sparrow	Emberizidae	1999	Nutrition And Energetics		"Walsberg, G. 1983. Avian ecological energetics. Avian Biol. 8:161-220."			"Very long book, difficult to find anything useful"
Cassin's Sparrow	Emberizidae	1999	Nutrition And Energetics		"Schnase, J. L., W. E. Grant, T. C. Maxwell, and J. J. Leggett. 1991. Time and energy budgets of Cassin's Sparrow (Aimophila cassinii) during the breeding season: evaluation through modelling. Ecol. Modelling 55:285-319."			
Cassin's Sparrow	Emberizidae	1999	Feeding	Food Capture And Consumption	"Wolf, L. L. 1977. Species relationships in the avian genus Aimophila. Ornithol. Monogr. 23."			
Cassin's Sparrow	Emberizidae	1999	Nutrition And Energetics		"Johnson, J. C. 1956. Breeding of Cassin's Sparrow in central Oklahoma. Wilson Bull. 68:75-76."			
Cassin's Sparrow	Emberizidae	1999	Feeding	Food Capture And Consumption	"Bock, C. E., J. H. Bock, and M. C. Grant. 1992. Effects of bird predation on grasshopper densities in an Arizona grassland. Ecology 73:1706-1717."	y	n	"Source is a book that needs to be bought, cannot acquire/find online."
Chestnut-collared Longspur	Emberizidae	1997	Feeding	Food Capture And Consumption	"Baldwin, P. H. and P. D. Creighton. 1972. Feeding ecology and nesting behavior of grassland birds at the Pawnee site, 1971. U.S. Interl. Biol. Prog. Tech. Rep. no. 185."			
Chestnut-collared Longspur	Emberizidae	1997	Feeding	Food Capture And Consumption	"Semenchuk, G. P. 1992. The atlas of breeding birds of Alberta. Fed. Alberta Nat. Edmonton."	y	N/A	
Chestnut-collared Longspur	Emberizidae	1997	Diet		"Oberholser, H. C. 1974. The bird life of Texas. Vol. 2. Univ. of Texas Press, Austin."	y	n	
Chestnut-collared Longspur	Emberizidae	1997	Diet		"Fairfield, G. M. 1968. Chestnut-collared Longspur. Pages 1635-1652 in Life histories of North American cardinals, grosbeaks, buntings, towhees, finches, sparrows, and allies. (Bent, A. C., Ed.) U.S. Natl. Mus. Bull. 237."	y	n	"Unsure if useful, is more than a paper, more of a book, difficult to find information."
Chestnut-collared Longspur	Emberizidae	1997	Diet		"Wiens, J. A. 1973. Pattern and process in grassland bird communities. Ecol. Monogr. 43:237-270."	y	n	
Chestnut-collared Longspur	Emberizidae	1997	Food Selection And Storage		"Maher, W. J. 1979. Nestling diets of prairie passerine birds at Matador, Saskatchewan, Canada. Ibis 121:437-452."	n	N/A	
Chipping Sparrow	Emberizidae	1998	Feeding	Main Foods Taken	"Stull, W. D. 1968. Spizella passerina (Bechstein): Eastern and Canadian Chipping Sparrows. Pages 1166-1184 in Life histories of North American cardinals, grosbeaks, buntings, towhees, finches, sparrows, and allies. (O. L. Austin, Jr., Ed.) U.S. Natl. Mus. Bull. no. 237(2)"			
Chipping Sparrow	Emberizidae	1998	Feeding	Microhabitat For Foraging	"Oberholser, H. C. 1974. The bird life of Texas. Univ. of Texas Press, Austin."	y	n	
Chipping Sparrow	Emberizidae	1998	Diet	Invertebrate Foods	"Shuford, W. D. 1993. The Marin County breeding bird atlas. Calif. Avifauna Ser. 1. Bushtit Books, Bolinas, CA."	y	n	"Entire book, not sure if entirely accessible online"
Chipping Sparrow	Emberizidae	1998	Nutrition And Energetics		"Robel, R. J., A. R. Bisset, T. M. Clement, Jr., A. D. Dayton, and K. L. Morgan. 1979. Metabolizable energy of important foods of bobwhites in Kansas. J. Wildl. Manage. 43:982-987."	y	N/A	
Chipping Sparrow	Emberizidae	1998	Feeding	Microhabitat For Foraging	"Baumgartner, F. M. and A. M. Baumgartner. 1992. Oklahoma bird life. Univ. of Oklahoma Press, Norman."	y	n	"Source is a book that needs to be bought, cannot acquire/find online."
Chipping Sparrow	Emberizidae	1998	Feeding	Microhabitat For Foraging	"Pulliam, H. R. and G. S. Mills. 1977. The use of space by wintering sparrows. Ecology 58:1393-1399."			"Source is a book that needs to be bought, cannot acquire/find online."
Chipping Sparrow	Emberizidae	1998	Feeding	Microhabitat For Foraging	"Peterjohn, B. G. 1989. The birds of Ohio. Indiana Univ. Press, Bloomington."	y	y	
Chipping Sparrow	Emberizidae	1998	Diet	Plant Foods	"Veit, R. R. and W. R. Petersen. 1993. Birds of Massachusetts. Massachusetts Audubon Soc., Lincoln, MA."			
Chipping Sparrow	Emberizidae	1998	Feeding	Main Foods Taken	"Crook, D. 1975. Chipping Sparrows feeding grit to offspring. Wilson Bull. 87:552."	n	N/A	
Chipping Sparrow	Emberizidae	1998	Nutrition And Energetics		"Browning, N. G. and R. J. Robel. 1981. Metabolizable energy in four seeds fed to Cardinals. Trans. Kans. Acad. Sci. 84:115-118."			
Chipping Sparrow	Emberizidae	1998	Feeding	Main Foods Taken	"Judd, S. D. 1900. The food of nestling birds. Pages 411-436 in U.S. Dep. Agric. Yearbook."	n	N/A	
Chipping Sparrow	Emberizidae	1998	Metabolism And Temperature Regulation		"Dawson, W. R. and F. C. Evans. 1957. Relation of growth and development to temperature regulation in nestling Field and Chipping Sparrows. Physiol. Zool. 30:315-327."	n	N/A	
Chipping Sparrow	Emberizidae	1998	Diet		"Judd, S. D. 1901. The relation of sparrows to agriculture. U.S. Dep. Agric. Biol. Surv. 15:76-78."			
Chipping Sparrow	Emberizidae	1998	Feeding	Main Foods Taken	"Allaire, P. N. and C. D. Fisher. 1975. Feeding ecology of three resident sympatric sparrows in eastern Texas. Auk 92:260-269."	y	n	
Chipping Sparrow	Emberizidae	1998	Feeding	Food Capture And Consumption	"Johnson, R. R. 1968. Spizella passerina arizonae Coues. Western Chipping Sparrow. Pages 1184-1186 in Life histories of North American cardinals, grosbeaks, buntings, towhees, finches, sparrows, and allies. (Austin, Jr., O. L., Ed.) U.S. Natl. Mus. Bull. no. 237 (2)"	y	n	
Chipping Sparrow	Emberizidae	1998	Feeding	Microhabitat For Foraging	"Forbush, E. H. 1913. Useful birds and their protection. 4th ed. Mass. State Board of Agric., Boston, MA."	y	y	
Chipping Sparrow	Emberizidae	1998	Feeding	Food Capture And Consumption	"Pulliam, H. R. 1980. Do Chipping Sparrows forage optimally? Ardea 68:75-82."			
Chipping Sparrow	Emberizidae	1998	Nutrition And Energetics		"Johnson, O. W. 1979. Urinary organs. Pages 183-235 in Form and function in birds. Vol. 1 (King, A. S. and J. McLelland, Eds.) Academic Press, London."			
Chipping Sparrow	Emberizidae	1998	Feeding	Food Capture And Consumption	"Speirs, J. M. 1985. Birds of Ontario. Vol. 2. Nat. Heritage/Nat. Hist. Inc. Toronto."	y	n	
