"level"	"name"	"condition"
"Scientific_Name"	"Ips grandicollis"	"unmatched"
"Scientific_Name"	"Haemonia nigricornis"	"unmatched"
"Scientific_Name"	"Brachyleptura rubrica"	"unmatched"
"Scientific_Name"	"Camptoprosopella vulgaris"	"unmatched"
"Scientific_Name"	"Neomyia cornicina"	"unmatched"
"Scientific_Name"	"Chrysis coerulans"	"unmatched"
"Scientific_Name"	"Tremex columba"	"unmatched"
"Scientific_Name"	"Phaenops fulvoguttata"	"unmatched"
"Scientific_Name"	"Asemum striatum"	"unmatched"
"Scientific_Name"	"Cicindela lemniscata"	"unmatched"
"Scientific_Name"	"Judolia instabilis"	"unmatched"
"Scientific_Name"	"Ophryastes tuberosus"	"unmatched"
"Scientific_Name"	"Pantomorus elegans"	"unmatched"
"Scientific_Name"	"Stenosphenus dolosus"	"unmatched"
"Scientific_Name"	"Placosternus crinicornis"	"unmatched"
"Scientific_Name"	"Onthophagus pennsylvanicus"	"unmatched"
"Scientific_Name"	"Cicindela ocellata"	"unmatched"
"Scientific_Name"	"Olla v-nigrum"	"unmatched"
"Scientific_Name"	"Epicauta albida"	"unmatched"
"Scientific_Name"	"Acmaeodera miliaris"	"unmatched"
"Scientific_Name"	"Megacyllene robiniae"	"unmatched"
"Scientific_Name"	"Thyanta custator"	"unmatched"
"Scientific_Name"	"Alabama argillacea"	"unmatched"
"Scientific_Name"	"Climaciella brunnea"	"unmatched"
"Scientific_Name"	"Syrbula montezuma"	"unmatched"
"Scientific_Name"	"Anisodactylus similis"	"unmatched"
"Scientific_Name"	"Hydaticus continentalis"	"unmatched"
"Scientific_Name"	"Eurygaster alternata"	"unmatched"
"Scientific_Name"	"Hylaeus affinis"	"unmatched"
"Scientific_Name"	"Coccinella transversoguttata"	"unmatched"
"Scientific_Name"	"Xerosaprinus plenus"	"unmatched"
"Scientific_Name"	"Ptilinus basalis"	"unmatched"
"Scientific_Name"	"Coccinella undecimpunctata"	"unmatched"
"Scientific_Name"	"Podabrus punctatus"	"unmatched"
"Scientific_Name"	"Madarellus undulatus"	"unmatched"
"Scientific_Name"	"Curculio uniformis"	"unmatched"
"Scientific_Name"	"Epitrix cucumeris"	"unmatched"
"Scientific_Name"	"Tricholochmaea decora"	"unmatched"
"Scientific_Name"	"Spirodela polyrhiza"	"unmatched"
"Scientific_Name"	"Hypericum walteri"	"unmatched"
"Scientific_Name"	"Steinchisma laxa"	"unmatched"
"Scientific_Name"	"Schoenoplectus mucronatus"	"unmatched"
"Scientific_Name"	"Musa X paradisiaca"	"unmatched"
"Scientific_Name"	"Apodasmia similis"	"unmatched"
"Scientific_Name"	"Leucopogon fasciculatus"	"unmatched"
"Scientific_Name"	"Zeacumantus lutulentus"	"unmatched"
"Scientific_Name"	"Austrolittorina antipodum"	"unmatched"
"Scientific_Name"	"Paphies australis"	"unmatched"
"Scientific_Name"	"Austrovenus stutchburyi"	"unmatched"
"Scientific_Name"	"Halicarcinus varius"	"unmatched"
"Scientific_Name"	"Crypsis schoenoides"	"unmatched"
"Scientific_Name"	"Leptochloa filiformis"	"unmatched"
"Scientific_Name"	"Panicum laevifolium"	"unmatched"
"Scientific_Name"	"Ambrosia maritima"	"unmatched"
"Scientific_Name"	"Neanthes succinea"	"unmatched"
"Scientific_Name"	"Nymphaea lotus"	"unmatched"
"Scientific_Name"	"Potamogeton nodosus"	"unmatched"
"Scientific_Name"	"Calamagrostis neglecta"	"unmatched"
"Scientific_Name"	"Palaemonetes pugio"	"unmatched"
"Scientific_Name"	"Ruppia occidentalis"	"unmatched"
"Scientific_Name"	"Potamogeton berchtoldii"	"unmatched"
"Scientific_Name"	"Erythromma najas"	"unmatched"
"Scientific_Name"	"Ilyanassa obsoleta"	"unmatched"
"Scientific_Name"	"Macoma balthica"	"unmatched"
"Scientific_Name"	"Taraxacum laevigatum"	"unmatched"
"Scientific_Name"	"Gevuina avellana"	"unmatched"
"Scientific_Name"	"Margyricarpus pinnatus"	"unmatched"
"Scientific_Name"	"Ficus americana"	"unmatched"
"Scientific_Name"	"Spartina alterniflora"	"unmatched"
"Scientific_Name"	"Spartina patens"	"unmatched"
"Scientific_Name"	"Pyropia columbina"	"unmatched"
