TAXON_ORDER	CATEGORY	SPECIES_CODE	SCI_NAME	PRIMARY_COM_NAME	ORDER1	FAMILY	SPECIES_GROUP	REPORT_AS
8734	species	pubsun1	Aglaeactis aliciae	Purple-backed Sunbeam	Apodiformes	Trochilidae (Hummingbirds)		
8736	species	blhsun1	Aglaeactis pamela	Black-hooded Sunbeam	Apodiformes	Trochilidae (Hummingbirds)		
8738	species	broinc1	Coeligena coeligena	Bronzy Inca	Apodiformes	Trochilidae (Hummingbirds)		
8740	species	broinc2	Coeligena wilsoni	Brown Inca	Apodiformes	Trochilidae (Hummingbirds)		
8742	species	blainc1	Coeligena prunellei	Black Inca	Apodiformes	Trochilidae (Hummingbirds)		
8744	species	colinc1	Coeligena torquata	Collared Inca	Apodiformes	Trochilidae (Hummingbirds)		
8746	issf	colinc2	Coeligena torquata [torquata Group]	Collared Inca (Collared)	Apodiformes	Trochilidae (Hummingbirds)		colinc1
8748	issf	colinc3	Coeligena torquata inca/omissa	Collared Inca (Gould's)	Apodiformes	Trochilidae (Hummingbirds)		colinc1
8750	species	vitsta1	Coeligena violifer	Violet-throated Starfrontlet	Apodiformes	Trochilidae (Hummingbirds)		
8757	species	raista1	Coeligena iris	Rainbow Starfrontlet	Apodiformes	Trochilidae (Hummingbirds)		
8764.4	species	whtsta1	Coeligena phalerata	White-tailed Starfrontlet	Apodiformes	Trochilidae (Hummingbirds)		
8764.8	species	dussta1	Coeligena orina	Dusky Starfrontlet	Apodiformes	Trochilidae (Hummingbirds)		
8765	species	buwsta1	Coeligena lutetiae	Buff-winged Starfrontlet	Apodiformes	Trochilidae (Hummingbirds)		
8765.4	species	gobsta1	Coeligena bonapartei	Golden-bellied Starfrontlet	Apodiformes	Trochilidae (Hummingbirds)		
8766	issf	gobsta3	Coeligena bonapartei bonapartei/consita	Golden-bellied Starfrontlet (Golden-bellied)	Apodiformes	Trochilidae (Hummingbirds)		gobsta1
8766.6	issf	gobsta4	Coeligena bonapartei eos	Golden-bellied Starfrontlet (Golden-tailed)	Apodiformes	Trochilidae (Hummingbirds)		gobsta1
8766.8	species	bltsta1	Coeligena helianthea	Blue-throated Starfrontlet	Apodiformes	Trochilidae (Hummingbirds)		
8768	species	mouvel1	Lafresnaya lafresnayi	Mountain Velvetbreast	Apodiformes	Trochilidae (Hummingbirds)		
8770	species	swbhum1	Ensifera ensifera	Sword-billed Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8772	species	gresap1	Pterophanes cyanopterus	Great Sapphirewing	Apodiformes	Trochilidae (Hummingbirds)		
8774	species	butcor1	Boissonneaua flavescens	Buff-tailed Coronet	Apodiformes	Trochilidae (Hummingbirds)		
8776	species	chbcor1	Boissonneaua matthewsii	Chestnut-breasted Coronet	Apodiformes	Trochilidae (Hummingbirds)		
8778	species	vepcor1	Boissonneaua jardini	Velvet-purple Coronet	Apodiformes	Trochilidae (Hummingbirds)		
8780	species	bortai1	Ocreatus underwoodii	Booted Racket-tail	Apodiformes	Trochilidae (Hummingbirds)		
8782	species	whthil1	Urochroa bougueri	White-tailed Hillstar	Apodiformes	Trochilidae (Hummingbirds)		
8784	species	pubwhi1	Urosticte benjamini	Purple-bibbed Whitetip	Apodiformes	Trochilidae (Hummingbirds)		
8786	species	ruvwhi1	Urosticte ruficrissa	Rufous-vented Whitetip	Apodiformes	Trochilidae (Hummingbirds)		
8788	species	vebbri1	Heliodoxa xanthogonys	Velvet-browed Brilliant	Apodiformes	Trochilidae (Hummingbirds)		
8790	species	pitbri1	Heliodoxa gularis	Pink-throated Brilliant	Apodiformes	Trochilidae (Hummingbirds)		
8792	species	ruwbri1	Heliodoxa branickii	Rufous-webbed Brilliant	Apodiformes	Trochilidae (Hummingbirds)		
8794	species	bltbri1	Heliodoxa schreibersii	Black-throated Brilliant	Apodiformes	Trochilidae (Hummingbirds)		
8796	species	goujew1	Heliodoxa aurescens	Gould's Jewelfront	Apodiformes	Trochilidae (Hummingbirds)		
8798	species	fabbri1	Heliodoxa rubinoides	Fawn-breasted Brilliant	Apodiformes	Trochilidae (Hummingbirds)		
8800	species	grcbri1	Heliodoxa jacula	Green-crowned Brilliant	Apodiformes	Trochilidae (Hummingbirds)		
8802	species	empbri1	Heliodoxa imperatrix	Empress Brilliant	Apodiformes	Trochilidae (Hummingbirds)		
8804	species	vifbri1	Heliodoxa leadbeateri	Violet-fronted Brilliant	Apodiformes	Trochilidae (Hummingbirds)		
8806	species	brarub1	Clytolaema rubricauda	Brazilian Ruby	Apodiformes	Trochilidae (Hummingbirds)		
8808	species	giahum1	Patagona gigas	Giant Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8810	species	vichum2	Sternoclyta cyanopectus	Violet-chested Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8812	species	scthum1	Hylonympha macrocerca	Scissor-tailed Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8814	species	maghum	Eugenes fulgens	Magnificent Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8816	issf	maghum1	Eugenes fulgens fulgens	Magnificent Hummingbird (Northern)	Apodiformes	Trochilidae (Hummingbirds)		maghum
8818	issf	maghum2	Eugenes fulgens spectabilis	Magnificent Hummingbird (Costa Rican)	Apodiformes	Trochilidae (Hummingbirds)		maghum
8819	hybrid	mxbhum1	Amazilia beryllina x Eugenes fulgens	Berylline x Magnificent Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8820	species	lobsta1	Heliomaster longirostris	Long-billed Starthroat	Apodiformes	Trochilidae (Hummingbirds)		
8822	species	plcsta	Heliomaster constantii	Plain-capped Starthroat	Apodiformes	Trochilidae (Hummingbirds)		
8824	species	stbsta1	Heliomaster squamosus	Stripe-breasted Starthroat	Apodiformes	Trochilidae (Hummingbirds)		
8826	species	bltsta2	Heliomaster furcifer	Blue-tufted Starthroat	Apodiformes	Trochilidae (Hummingbirds)		
8828	species	fithum1	Panterpe insignis	Fiery-throated Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8830	species	gtmgem1	Lampornis viridipallens	Green-throated Mountain-gem	Apodiformes	Trochilidae (Hummingbirds)		
8832	species	gbmgem1	Lampornis sybillae	Green-breasted Mountain-gem	Apodiformes	Trochilidae (Hummingbirds)		
8834	species	amthum1	Lampornis amethystinus	Amethyst-throated Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8836	issf	amthum2	Lampornis amethystinus [amethystinus Group]	Amethyst-throated Hummingbird (Amethyst-throated)	Apodiformes	Trochilidae (Hummingbirds)		amthum1
8838	issf	amthum3	Lampornis amethystinus margaritae	Amethyst-throated Hummingbird (Violet-throated)	Apodiformes	Trochilidae (Hummingbirds)		amthum1
8840	species	buthum	Lampornis clemenciae	Blue-throated Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8842	species	wbmgem1	Lampornis hemileucus	White-bellied Mountain-gem	Apodiformes	Trochilidae (Hummingbirds)		
8844	species	ptmgem	Lampornis calolaemus	Purple-throated Mountain-gem	Apodiformes	Trochilidae (Hummingbirds)		
8846	species	wtmgem1	Lampornis castaneoventris	White-throated Mountain-gem	Apodiformes	Trochilidae (Hummingbirds)		
8848	issf	whtmog1	Lampornis castaneoventris castaneoventris	White-throated Mountain-gem (Blue-tailed)	Apodiformes	Trochilidae (Hummingbirds)		wtmgem1
8850	issf	whtmog2	Lampornis castaneoventris cinereicauda	White-throated Mountain-gem (Gray-tailed)	Apodiformes	Trochilidae (Hummingbirds)		wtmgem1
8852	species	gathum1	Lamprolaima rhami	Garnet-throated Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8854	species	pucwoo1	Myrtis fanny	Purple-collared Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8856	species	chiwoo1	Eulidia yarrellii	Chilean Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8858	species	oashum1	Rhodopis vesper	Oasis Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8860	species	pershe2	Thaumastura cora	Peruvian Sheartail	Apodiformes	Trochilidae (Hummingbirds)		
8861	hybrid	x00736	Eulidia yarrellii x Thaumastura cora	Chilean Woodstar x Peruvian Sheartail (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8862	species	whbwoo6	Chaetocercus mulsant	White-bellied Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8864	species	litwoo5	Chaetocercus bombus	Little Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8866	species	gorwoo2	Chaetocercus heliodor	Gorgeted Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8868	species	samwoo2	Chaetocercus astreans	Santa Marta Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8870	species	esmwoo2	Chaetocercus berlepschi	Esmeraldas Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8872	species	ruswoo1	Chaetocercus jourdanii	Rufous-shafted Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8873.6	spuh	chaeto1	Chaetocercus sp.	Chaetocercus sp.	Apodiformes	Trochilidae (Hummingbirds)		
8874	species	shtwoo1	Myrmia micrura	Short-tailed Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8876	species	sltwoo1	Microstilbon burmeisteri	Slender-tailed Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8878	species	sleshe1	Doricha enicura	Slender Sheartail	Apodiformes	Trochilidae (Hummingbirds)		
8880	species	mexshe1	Doricha eliza	Mexican Sheartail	Apodiformes	Trochilidae (Hummingbirds)		
8882	species	spthum1	Tilmatura dupontii	Sparkling-tailed Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8884	species	luchum	Calothorax lucifer	Lucifer Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8886	species	beahum1	Calothorax pulcher	Beautiful Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8888	species	bahwoo	Calliphlox evelynae	Bahama Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8890	species	matwoo1	Calliphlox bryantae	Magenta-throated Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8892	species	putwoo1	Calliphlox mitchellii	Purple-throated Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8894	species	amewoo1	Calliphlox amethystina	Amethyst Woodstar	Apodiformes	Trochilidae (Hummingbirds)		
8896	species	rthhum	Archilochus colubris	Ruby-throated Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8898	species	bkchum	Archilochus alexandri	Black-chinned Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8900	slash	archil1	Archilochus colubris/alexandri	Ruby-throated/Black-chinned Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8902	species	verhum1	Mellisuga minima	Vervain Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8904	species	beehum1	Mellisuga helenae	Bee Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8906	species	annhum	Calypte anna	Anna's Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8906.3	hybrid	x00690	Calothorax lucifer x Calypte anna	Lucifer x Anna's Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8906.5	hybrid	x00651	Archilochus alexandri x Calypte anna	Black-chinned x Anna's Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8914	species	coshum	Calypte costae	Costa's Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8914.5	hybrid	x00737	Calothorax lucifer x Calypte costae	Lucifer x Costa's Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8915	hybrid	x00618	Calypte anna x costae	Anna's x Costa's Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8916	slash	calypt	Calypte anna/costae	Anna's/Costa's Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8918	species	bumhum	Atthis heloisa	Bumblebee Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8920	species	withum1	Atthis ellioti	Wine-throated Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8922	species	brthum	Selasphorus platycercus	Broad-tailed Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8924	species	rufhum	Selasphorus rufus	Rufous Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8924.3	hybrid	x00738	Archilochus alexandri x Selasphorus rufus	Black-chinned x Rufous Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8924.5	hybrid	x00626	Calypte anna x Selasphorus rufus	Anna's x Rufous Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8926	species	allhum	Selasphorus sasin	Allen's Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8931	hybrid	x00691	Calypte anna x Selasphorus sasin	Anna's x Allen's Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8931.5	hybrid	x00739	Calypte anna x Selasphorus sp.	Anna's Hummingbird x Selasphorus sp. (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8932	slash	y00001	Selasphorus rufus/sasin	Rufous/Allen's Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8934	species	volhum1	Selasphorus flammula	Volcano Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8936	issf	volhum2	Selasphorus flammula flammula	Volcano Hummingbird (Purple-throated)	Apodiformes	Trochilidae (Hummingbirds)		volhum1
8938	issf	volhum4	Selasphorus flammula torridus	Volcano Hummingbird (Heliotrope-throated)	Apodiformes	Trochilidae (Hummingbirds)		volhum1
8940	issf	volhum3	Selasphorus flammula simoni	Volcano Hummingbird (Rose-throated)	Apodiformes	Trochilidae (Hummingbirds)		volhum1
8942	species	glthum1	Selasphorus ardens	Glow-throated Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8944	species	scihum1	Selasphorus scintilla	Scintillant Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8946	species	calhum	Selasphorus calliope	Calliope Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8946.3	hybrid	x00768	Archilochus alexandri x Selasphorus calliope	Black-chinned x Calliope Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8946.5	hybrid	x00619	Calypte anna x Selasphorus calliope	Anna's x Calliope Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
8948	spuh	selasp	Selasphorus sp.	Selasphorus sp.	Apodiformes	Trochilidae (Hummingbirds)		
8950	species	weseme1	Chlorostilbon melanorhynchus	Western Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8952	species	rebeme1	Chlorostilbon gibsoni	Red-billed Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8954	species	blteme1	Chlorostilbon mellisugus	Blue-tailed Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8956	species	goceme1	Chlorostilbon auriceps	Golden-crowned Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8958	species	cozeme1	Chlorostilbon forficatus	Cozumel Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8960	species	caneme1	Chlorostilbon canivetii	Canivet's Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8962	issf	caneme2	Chlorostilbon canivetii canivetii	Canivet's Emerald (Canivet's)	Apodiformes	Trochilidae (Hummingbirds)		caneme1
8964	issf	caneme3	Chlorostilbon canivetii salvini/osberti	Canivet's Emerald (Salvin's)	Apodiformes	Trochilidae (Hummingbirds)		caneme1
8966	species	gareme1	Chlorostilbon assimilis	Garden Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8968	species	chieme1	Chlorostilbon olivaresi	Chiribiquete Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8970	species	cubeme1	Chlorostilbon ricordii	Cuban Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8972	species	braeme1	Chlorostilbon bracei	Brace's Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8974	species	hiseme1	Chlorostilbon swainsonii	Hispaniolan Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8976	species	pureme1	Chlorostilbon maugaeus	Puerto Rican Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8978	species	glbeme1	Chlorostilbon lucidus	Glittering-bellied Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8980	species	copeme1	Chlorostilbon russatus	Coppery Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8982	species	nateme2	Chlorostilbon stenurus	Narrow-tailed Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8984	species	grteme1	Chlorostilbon alice	Green-tailed Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8986	species	shteme1	Chlorostilbon poortmani	Short-tailed Emerald	Apodiformes	Trochilidae (Hummingbirds)		
8988	species	bucsap1	Chlorestes notata	Blue-chinned Sapphire	Apodiformes	Trochilidae (Hummingbirds)		
8990	species	dushum1	Cynanthus sordidus	Dusky Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8992	species	brbhum	Cynanthus latirostris	Broad-billed Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
8994	issf	brbhum1	Cynanthus latirostris [latirostris Group]	Broad-billed Hummingbird (Northern)	Apodiformes	Trochilidae (Hummingbirds)		brbhum
8996	issf	brbhum2	Cynanthus latirostris doubledayi	Broad-billed Hummingbird (Doubleday's)	Apodiformes	Trochilidae (Hummingbirds)		brbhum
8998	issf	brbhum3	Cynanthus latirostris lawrencei	Broad-billed Hummingbird (Tres Marias Is.)	Apodiformes	Trochilidae (Hummingbirds)		brbhum
8999	hybrid	x00676	Archilochus alexandri x Cynanthus latirostris	Black-chinned x Broad-billed Hummingbird (hybrid)	Apodiformes	Trochilidae (Hummingbirds)		
9002	species	blhhum1	Cyanophaia bicolor	Blue-headed Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9004	species	anchum1	Orthorhyncus cristatus	Antillean Crested Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9006	issf	anchum2	Orthorhyncus cristatus exilis	Antillean Crested Hummingbird (Lesser Antilles)	Apodiformes	Trochilidae (Hummingbirds)		anchum1
9008	issf	anchum3	Orthorhyncus cristatus ornatus	Antillean Crested Hummingbird (St. Vincent)	Apodiformes	Trochilidae (Hummingbirds)		anchum1
9010	issf	anchum4	Orthorhyncus cristatus cristatus	Antillean Crested Hummingbird (Barbados)	Apodiformes	Trochilidae (Hummingbirds)		anchum1
9012	issf	anchum5	Orthorhyncus cristatus emigrans	Antillean Crested Hummingbird (Grenadines and Grenada)	Apodiformes	Trochilidae (Hummingbirds)		anchum1
9014	species	vihhum1	Klais guimeti	Violet-headed Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9016	species	emchum1	Abeillia abeillei	Emerald-chinned Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9018	species	plover1	Stephanoxis lalandi	Plovercrest	Apodiformes	Trochilidae (Hummingbirds)		
9018.4	issf	plover3	Stephanoxis lalandi lalandi	Plovercrest (Emerald-crested)	Apodiformes	Trochilidae (Hummingbirds)		plover1
9019	issf	plover4	Stephanoxis lalandi loddigesii	Plovercrest (Violet-crested)	Apodiformes	Trochilidae (Hummingbirds)		plover1
9020	species	scbhum1	Phaeochroa cuvierii	Scaly-breasted Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9022	issf	scbhum2	Phaeochroa cuvierii roberti	Scaly-breasted Hummingbird (Robert's)	Apodiformes	Trochilidae (Hummingbirds)		scbhum1
9024	issf	scbhum3	Phaeochroa cuvierii [cuvierii Group]	Scaly-breasted Hummingbird (Cuvier's)	Apodiformes	Trochilidae (Hummingbirds)		scbhum1
9026	species	wetsab1	Campylopterus curvipennis	Wedge-tailed Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9028	issf	wetsab2	Campylopterus curvipennis curvipennis	Wedge-tailed Sabrewing (Curve-winged)	Apodiformes	Trochilidae (Hummingbirds)		wetsab1
9030	issf	wetsab3	Campylopterus curvipennis pampa	Wedge-tailed Sabrewing (Wedge-tailed)	Apodiformes	Trochilidae (Hummingbirds)		wetsab1
9032	species	lotsab1	Campylopterus excellens	Long-tailed Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9034	species	gybsab1	Campylopterus largipennis	Gray-breasted Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9036	species	rufsab1	Campylopterus rufus	Rufous Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9038	species	viosab1	Campylopterus hemileucurus	Violet Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9040	species	rubsab1	Campylopterus hyperythrus	Rufous-breasted Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9042	species	whtsab1	Campylopterus ensipennis	White-tailed Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9044	species	lazsab1	Campylopterus falcatus	Lazuline Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9046	species	samsab1	Campylopterus phainopeplus	Santa Marta Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9048	species	napsab1	Campylopterus villaviscensio	Napo Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9050	species	bubsab1	Campylopterus duidae	Buff-breasted Sabrewing	Apodiformes	Trochilidae (Hummingbirds)		
9052	species	swthum1	Eupetomena macroura	Swallow-tailed Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9054	species	whvplu1	Chalybura buffonii	White-vented Plumeleteer	Apodiformes	Trochilidae (Hummingbirds)		
9056	issf	whvplu2	Chalybura buffonii [buffonii Group]	White-vented Plumeleteer (White-vented)	Apodiformes	Trochilidae (Hummingbirds)		whvplu1
9058	issf	whvplu3	Chalybura buffonii caeruleogaster	White-vented Plumeleteer (Blue-bellied)	Apodiformes	Trochilidae (Hummingbirds)		whvplu1
9060	issf	whvplu4	Chalybura buffonii intermedia	White-vented Plumeleteer (Ecuadorian)	Apodiformes	Trochilidae (Hummingbirds)		whvplu1
9062	species	brtplu1	Chalybura urochrysia	Bronze-tailed Plumeleteer	Apodiformes	Trochilidae (Hummingbirds)		
9064	species	mexwoo1	Thalurania ridgwayi	Mexican Woodnymph	Apodiformes	Trochilidae (Hummingbirds)		
9065	species	crowoo1	Thalurania colombica	Crowned Woodnymph	Apodiformes	Trochilidae (Hummingbirds)		
9066	form	vicwoo1	Thalurania colombica (Violet-crowned Woodnymph)	Crowned Woodnymph (Violet-crowned Woodnymph)	Apodiformes	Trochilidae (Hummingbirds)		crowoo1
9068	issf	vicwoo3	Thalurania colombica venusta/townsendi	Crowned Woodnymph (Northern Violet-crowned)	Apodiformes	Trochilidae (Hummingbirds)		crowoo1
9070	issf	vicwoo4	Thalurania colombica colombica/rostrifera	Crowned Woodnymph (Colombian Violet-crowned)	Apodiformes	Trochilidae (Hummingbirds)		crowoo1
9072	form	grcwoo2	Thalurania colombica (Green-crowned Woodnymph)	Crowned Woodnymph (Green-crowned Woodnymph)	Apodiformes	Trochilidae (Hummingbirds)		crowoo1
9074	issf	gncwoo1	Thalurania colombica [fannyi Group]	Crowned Woodnymph (Northern Green-crowned)	Apodiformes	Trochilidae (Hummingbirds)		crowoo1
9076	issf	gncwoo2	Thalurania colombica hypochlora	Crowned Woodnymph (Emerald-bellied)	Apodiformes	Trochilidae (Hummingbirds)		crowoo1
9078	species	fotwoo1	Thalurania furcata	Fork-tailed Woodnymph	Apodiformes	Trochilidae (Hummingbirds)		
9080	species	lotwoo2	Thalurania watertonii	Long-tailed Woodnymph	Apodiformes	Trochilidae (Hummingbirds)		
9082	species	vicwoo2	Thalurania glaucopis	Violet-capped Woodnymph	Apodiformes	Trochilidae (Hummingbirds)		
9084	species	stthum1	Eupherusa eximia	Stripe-tailed Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9086	species	blchum2	Eupherusa cyanophrys	Blue-capped Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9088	species	whthum1	Eupherusa poliocerca	White-tailed Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9090	species	blbhum1	Eupherusa nigriventris	Black-bellied Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9092	species	whteme1	Elvira chionura	White-tailed Emerald	Apodiformes	Trochilidae (Hummingbirds)		
9094	species	coheme1	Elvira cupreiceps	Coppery-headed Emerald	Apodiformes	Trochilidae (Hummingbirds)		
9096	species	snowca1	Microchera albocoronata	Snowcap	Apodiformes	Trochilidae (Hummingbirds)		
9098	species	somhum1	Aphantochroa cirrochloris	Sombre Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9100	species	mashum1	Taphrospilus hypostictus	Many-spotted Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9102	species	whthum2	Leucochloris albicollis	White-throated Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9104	species	bufhum1	Leucippus fallax	Buffy Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9106	species	tumhum1	Leucippus baeri	Tumbes Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9108	species	spthum2	Leucippus taczanowskii	Spot-throated Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9110	species	olshum1	Leucippus chlorocercus	Olive-spotted Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9112	species	whbhum1	Amazilia chionogaster	White-bellied Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9114	species	gawhum1	Amazilia viridicauda	Green-and-white Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9116	species	chbhum1	Amazilia castaneiventris	Chestnut-bellied Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9118	species	amahum1	Amazilia amazilia	Amazilia Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9120	issf	amahum2	Amazilia amazilia [amazilia Group]	Amazilia Hummingbird (Amazilia)	Apodiformes	Trochilidae (Hummingbirds)		amahum1
9122	issf	amahum3	Amazilia amazilia alticola	Amazilia Hummingbird (Loja)	Apodiformes	Trochilidae (Hummingbirds)		amahum1
9124	species	whbeme1	Amazilia candida	White-bellied Emerald	Apodiformes	Trochilidae (Hummingbirds)		
9126	species	honeme1	Amazilia luciae	Honduran Emerald	Apodiformes	Trochilidae (Hummingbirds)		
9128	species	whceme1	Amazilia brevirostris	White-chested Emerald	Apodiformes	Trochilidae (Hummingbirds)		
9130	species	plbeme1	Amazilia leucogaster	Plain-bellied Emerald	Apodiformes	Trochilidae (Hummingbirds)		
9132	species	vereme1	Amazilia versicolor	Versicolored Emerald	Apodiformes	Trochilidae (Hummingbirds)		
9134	issf	vereme2	Amazilia versicolor [versicolor Group]	Versicolored Emerald (Versicolored)	Apodiformes	Trochilidae (Hummingbirds)		vereme1
9136	issf	vereme3	Amazilia versicolor rondoniae	Versicolored Emerald (Rondonia)	Apodiformes	Trochilidae (Hummingbirds)		vereme1
9138	species	andeme1	Amazilia franciae	Andean Emerald	Apodiformes	Trochilidae (Hummingbirds)		
9140	species	glteme1	Amazilia fimbriata	Glittering-throated Emerald	Apodiformes	Trochilidae (Hummingbirds)		
9142	species	saseme1	Amazilia lactea	Sapphire-spangled Emerald	Apodiformes	Trochilidae (Hummingbirds)		
9144	species	blchum1	Amazilia amabilis	Blue-chested Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9146	species	chahum1	Amazilia decora	Charming Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9148	species	puchum1	Amazilia rosenbergi	Purple-chested Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9150	species	manhum1	Amazilia boucardi	Mangrove Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9152	species	azchum1	Amazilia cyanocephala	Azure-crowned Hummingbird	Apodiformes	Trochilidae (Hummingbirds)		
9154	issf	azchum2	Amazilia cyanocephala cyanocephala	Azure-crowned Hummingbird (Azure-crowned)	Apodiformes	Trochilidae (Hummingbirds)		azchum1
